"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","43","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/02/2010","54","PM2.5","Fort Worth Northwest","48-439-1002","AQS"
"01/03/2010","57","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/04/2010","48","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/05/2010","62","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"01/06/2010","59","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"01/07/2010","31","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"01/08/2010","34","NO2","Dallas Redbird Airport Executive","48-113-0087","AQS"
"01/09/2010","66","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"01/10/2010","64","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"01/11/2010","63","PM2.5","Convention Center","48-113-0050","AQS"
"01/12/2010","61","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/13/2010","54","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"01/14/2010","73","PM2.5","Fort Worth Northwest","48-439-1002","AQS"
"01/15/2010","60","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/16/2010","43","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/17/2010","47","PM2.5","Convention Center","48-113-0050","AQS"
"01/18/2010","39","PM2.5","Denton Airport South","48-121-0034","AQS"
"01/19/2010","38","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/20/2010","54","PM10","Earhart","48-113-0061","AQS"
"01/21/2010","52","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"01/22/2010","47","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"01/23/2010","32","PM2.5","Kaufman","48-257-0005","AQS"
"01/24/2010","31","Ozone","Parker County","48-367-0081","AQS"
"01/25/2010","43","NO2","Dallas Hinton","48-113-0069","AQS"
"01/26/2010","52","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/27/2010","51","PM2.5","Denton Airport South","48-121-0034","AQS"
"01/28/2010","39","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/29/2010","26","Ozone","Pilot Point","48-121-1032","AQS"
"01/30/2010","34","PM2.5","Dallas Hinton","48-113-0069","AQS"
"01/31/2010","56","PM2.5","Arlington Municipal Airport","48-439-3011","AQS"
"02/01/2010","77","PM2.5","Fort Worth Northwest","48-439-1002","AQS"
"02/02/2010","42","PM2.5","Italy","48-139-1044","AQS"
"02/03/2010","54","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/04/2010","28","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/05/2010","30","Ozone","Pilot Point","48-121-1032","AQS"
"02/06/2010","50","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/07/2010","62","PM2.5","Fort Worth Northwest","48-439-1002","AQS"
"02/08/2010","30","Ozone","Pilot Point","48-121-1032","AQS"
"02/09/2010","37","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"02/10/2010","65","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/11/2010","46","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/12/2010","49","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/13/2010","59","PM2.5","Convention Center","48-113-0050","AQS"
"02/14/2010","45","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/15/2010","39","Ozone","Italy","48-139-1044","AQS"
"02/16/2010","40","NO2","Dallas Hinton","48-113-0069","AQS"
"02/17/2010","43","NO2","Dallas Hinton","48-113-0069","AQS"
"02/18/2010","47","Ozone","Parker County","48-367-0081","AQS"
"02/19/2010","46","PM2.5","Convention Center","48-113-0050","AQS"
"02/20/2010","41","Ozone","Italy","48-139-1044","AQS"
"02/21/2010","34","Ozone","Italy","48-139-1044","AQS"
"02/22/2010","42","PM2.5","Convention Center","48-113-0050","AQS"
"02/23/2010","37","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"02/24/2010","42","NO2","Dallas Hinton","48-113-0069","AQS"
"02/25/2010","46","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"02/26/2010","43","PM2.5","Dallas Hinton","48-113-0069","AQS"
"02/27/2010","45","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"02/28/2010","53","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"03/01/2010","39","Ozone","Italy","48-139-1044","AQS"
"03/02/2010","39","PM2.5","Dallas Hinton","48-113-0069","AQS"
"03/03/2010","62","PM2.5","Dallas Hinton","48-113-0069","AQS"
"03/04/2010","61","Ozone","Rockwall Heath","48-397-0001","AQS"
"03/05/2010","67","Ozone","Rockwall Heath","48-397-0001","AQS"
"03/06/2010","51","Ozone","Italy","48-139-1044","AQS"
"03/07/2010","55","PM2.5","Italy","48-139-1044","AQS"
"03/08/2010","39","Ozone","Italy","48-139-1044","AQS"
"03/09/2010","46","Ozone","Parker County","48-367-0081","AQS"
"03/10/2010","54","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"03/11/2010","41","Ozone","Granbury","48-221-0001","AQS"
"03/12/2010","45","Ozone","Denton Airport South","48-121-0034","AQS"
"03/13/2010","45","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"03/14/2010","51","Ozone","Granbury","48-221-0001","AQS"
"03/15/2010","42","Ozone","Rockwall Heath","48-397-0001","AQS"
"03/16/2010","47","PM2.5","Dallas Hinton","48-113-0069","AQS"
"03/17/2010","48","PM2.5","Dallas Hinton","48-113-0069","AQS"
"03/18/2010","51","PM2.5","Convention Center","48-113-0050","AQS"
"03/19/2010","58","Ozone","Rockwall Heath","48-397-0001","AQS"
"03/20/2010","35","Ozone","Granbury","48-221-0001","AQS"
"03/21/2010","38","Ozone","Granbury","48-221-0001","AQS"
"03/22/2010","44","Ozone","Denton Airport South","48-121-0034","AQS"
"03/23/2010","61","Ozone","Rockwall Heath","48-397-0001","AQS"
"03/24/2010","42","PM2.5","Denton Airport South","48-121-0034","AQS"
"03/25/2010","44","Ozone","Parker County","48-367-0081","AQS"
"03/26/2010","48","Ozone","Parker County","48-367-0081","AQS"
"03/27/2010","44","Ozone","Kaufman","48-257-0005","AQS"
"03/28/2010","40","Ozone","Italy","48-139-1044","AQS"
"03/29/2010","46","Ozone","Italy","48-139-1044","AQS"
"03/30/2010","61","Ozone","Denton Airport South","48-121-0034","AQS"
"03/31/2010","52","PM2.5","Denton Airport South","48-121-0034","AQS"
"04/01/2010","48","PM2.5","Kaufman","48-257-0005","AQS"
"04/02/2010","50","Ozone","Parker County","48-367-0081","AQS"
"04/03/2010","48","Ozone","Parker County","48-367-0081","AQS"
"04/04/2010","69","PM2.5","Denton Airport South","48-121-0034","AQS"
"04/05/2010","63","PM2.5","Kaufman","48-257-0005","AQS"
"04/06/2010","55","PM2.5","Midlothian OFW","48-139-0016","AQS"
"04/07/2010","50","Ozone","Midlothian OFW","48-139-0016","AQS"
"04/08/2010","51","Ozone","Keller","48-439-2003","AQS"
"04/09/2010","77","Ozone","Rockwall Heath","48-397-0001","AQS"
"04/10/2010","64","Ozone","Rockwall Heath","48-397-0001","AQS"
"04/11/2010","54","Ozone","Kaufman","48-257-0005","AQS"
"04/12/2010","93","Ozone","Keller","48-439-2003","AQS"
"04/13/2010","74","Ozone","Denton Airport South","48-121-0034","AQS"
"04/14/2010","61","Ozone","Denton Airport South","48-121-0034","AQS"
"04/15/2010","52","PM2.5","Denton Airport South","48-121-0034","AQS"
"04/16/2010","53","PM2.5","Dallas Hinton","48-113-0069","AQS"
"04/17/2010","53","PM2.5","Dallas Hinton","48-113-0069","AQS"
"04/18/2010","51","PM2.5","Dallas Hinton","48-113-0069","AQS"
"04/19/2010","49","Ozone","Midlothian OFW","48-139-0016","AQS"
"04/20/2010","77","Ozone","Rockwall Heath","48-397-0001","AQS"
"04/21/2010","90","Ozone","Pilot Point","48-121-1032","AQS"
"04/22/2010","60","PM2.5","Dallas Hinton","48-113-0069","AQS"
"04/23/2010","74","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"04/24/2010","49","Ozone","Midlothian OFW","48-139-0016","AQS"
"04/25/2010","49","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"04/26/2010","64","Ozone","Midlothian OFW","48-139-0016","AQS"
"04/27/2010","47","Ozone","Midlothian OFW","48-139-0016","AQS"
"04/28/2010","90","Ozone","Keller","48-439-2003","AQS"
"04/29/2010","52","PM2.5","Denton Airport South","48-121-0034","AQS"
"04/30/2010","54","PM2.5","Kaufman","48-257-0005","AQS"
"05/01/2010","64","Ozone","Midlothian OFW","48-139-0016","AQS"
"05/02/2010","51","Ozone","Rockwall Heath","48-397-0001","AQS"
"05/03/2010","50","Ozone","Midlothian OFW","48-139-0016","AQS"
"05/04/2010","80","Ozone","Frisco","48-085-0005","AQS"
"05/05/2010","150","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"05/06/2010","84","Ozone","Pilot Point","48-121-1032","AQS"
"05/07/2010","54","PM2.5","Italy","48-139-1044","AQS"
"05/08/2010","46","Ozone","Granbury","48-221-0001","AQS"
"05/09/2010","42","Ozone","Kaufman","48-257-0005","AQS"
"05/10/2010","67","PM2.5","Denton Airport South","48-121-0034","AQS"
"05/11/2010","61","PM2.5","Dallas Hinton","48-113-0069","AQS"
"05/12/2010","68","PM2.5","Haws Athletic Center","48-439-1006","AQS"
"05/13/2010","59","PM2.5","Kaufman","48-257-0005","AQS"
"05/14/2010","40","PM2.5","Kaufman","48-257-0005","AQS"
"05/15/2010","47","Ozone","Frisco","48-085-0005","AQS"
"05/16/2010","93","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"05/17/2010","71","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS"
"05/18/2010","74","Ozone","Eagle Mountain Lake","48-439-0075","AQS"
"05/19/2010","45","PM2.5","Dallas Hinton","48-113-0069","AQS"
"05/20/2010","54","Ozone","Eagle Mountain Lake","48-439-0075","AQS"
"05/21/2010","43","PM2.5","Dallas Hinton","48-113-0069","AQS"
"05/22/2010","31","Ozone","Frisco","48-085-0005","AQS"
"05/23/2010","32","PM2.5","Convention Center","48-113-0050","AQS"
"05/24/2010","58","Ozone","Pilot Point","48-121-1032","AQS"
"05/25/2010","55","PM2.5","Dallas Hinton","48-113-0069","AQS"
"05/26/2010","100","Ozone","Denton Airport South","48-121-0034","AQS"
