"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","41","PM2.5","Garinger High School","37-119-0041","AQS"
"01/02/2010","33","PM2.5","Garinger High School","37-119-0041","AQS"
"01/03/2010","32","Ozone","Garinger High School","37-119-0041","AQS"
"01/04/2010","36","PM2.5","Garinger High School","37-119-0041","AQS"
"01/05/2010","35","PM2.5","Garinger High School","37-119-0041","AQS"
"01/06/2010","34","NO2","Garinger High School","37-119-0041","AQS"
"01/07/2010","45","PM2.5","Rockwell","37-159-0021","AQS"
"01/08/2010","66","PM2.5","Garinger High School","37-119-0041","AQS"
"01/09/2010","41","PM2.5","Garinger High School","37-119-0041","AQS"
"01/10/2010","53","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"01/11/2010","64","PM2.5","Garinger High School","37-119-0041","AQS"
"01/12/2010","45","PM2.5","Rockwell","37-159-0021","AQS"
"01/13/2010","66","PM2.5","Grier School","37-071-0016","AQS"
"01/14/2010","77","PM2.5","Garinger High School","37-119-0041","AQS"
"01/15/2010","85","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"01/16/2010","92","PM2.5","Garinger High School","37-119-0041","AQS"
"01/17/2010","31","PM2.5","Rockwell","37-159-0021","AQS"
"01/18/2010","36","Ozone","Rockwell","37-159-0021","AQS"
"01/19/2010","41","PM2.5","Garinger High School","37-119-0041","AQS"
"01/20/2010","52","PM2.5","Garinger High School","37-119-0041","AQS"
"01/21/2010","50","PM2.5","Garinger High School","37-119-0041","AQS"
"01/22/2010","24","Ozone","Rockwell","37-159-0021","AQS"
"01/23/2010","32","PM2.5","Grier School","37-071-0016","AQS"
"01/24/2010","32","Ozone","Garinger High School","37-119-0041","AQS"
"01/25/2010","36","Ozone","Rockwell","37-159-0021","AQS"
"01/26/2010","29","PM2.5","Garinger High School","37-119-0041","AQS"
"01/27/2010","49","PM2.5","Garinger High School","37-119-0041","AQS"
"01/28/2010","45","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"01/29/2010","33","PM2.5","Garinger High School","37-119-0041","AQS"
"01/30/2010","38","PM2.5","Garinger High School","37-119-0041","AQS"
"01/31/2010","55","PM2.5","Garinger High School","37-119-0041","AQS"
"02/01/2010","79","PM2.5","Garinger High School","37-119-0041","AQS"
"02/02/2010","54","PM2.5","Rockwell","37-159-0021","AQS"
"02/03/2010","51","PM2.5","Garinger High School","37-119-0041","AQS"
"02/04/2010","63","PM2.5","Garinger High School","37-119-0041","AQS"
"02/05/2010","40","PM2.5","Garinger High School","37-119-0041","AQS"
"02/06/2010","29","PM2.5","Grier School","37-071-0016","AQS"
"02/07/2010","56","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"02/08/2010","57","PM2.5","Grier School","37-071-0016","AQS"
"02/09/2010","62","PM2.5","Grier School","37-071-0016","AQS"
"02/10/2010","53","PM2.5","Garinger High School","37-119-0041","AQS"
"02/11/2010","43","PM2.5","Grier School","37-071-0016","AQS"
"02/12/2010","40","PM2.5","Grier School","37-071-0016","AQS"
"02/13/2010","48","PM2.5","Garinger High School","37-119-0041","AQS"
"02/14/2010","54","PM2.5","Garinger High School","37-119-0041","AQS"
"02/15/2010","37","PM2.5","Rockwell","37-159-0021","AQS"
"02/16/2010","40","PM2.5","Rockwell","37-159-0021","AQS"
"02/17/2010","35","Ozone","Rockwell","37-159-0021","AQS"
"02/18/2010","37","Ozone","Rockwell","37-159-0021","AQS"
"02/19/2010","47","PM2.5","Rockwell","37-159-0021","AQS"
"02/20/2010","57","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"02/21/2010","73","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"02/22/2010","62","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"02/23/2010","63","PM2.5","Garinger High School","37-119-0041","AQS"
"02/24/2010","42","PM2.5","Garinger High School","37-119-0041","AQS"
"02/25/2010","43","PM2.5","Rockwell","37-159-0021","AQS"
"02/26/2010","41","Ozone","Rockwell","37-159-0021","AQS"
"02/27/2010","40","Ozone","Garinger High School","37-119-0041","AQS"
"02/28/2010","34","Ozone","Garinger High School","37-119-0041","AQS"
"03/01/2010","43","PM2.5","Garinger High School","37-119-0041","AQS"
"03/02/2010","35","PM2.5","Garinger High School","37-119-0041","AQS"
"03/03/2010","60","PM2.5","Rockwell","37-159-0021","AQS"
"03/04/2010","42","Ozone","Rockwell","37-159-0021","AQS"
"03/05/2010","42","Ozone","Rockwell","37-159-0021","AQS"
"03/06/2010","45","PM2.5","Garinger High School","37-119-0041","AQS"
"03/07/2010","47","Ozone","Rockwell","37-159-0021","AQS"
"03/08/2010","71","Ozone","Rockwell","37-159-0021","AQS"
"03/09/2010","101","PM2.5","Garinger High School","37-119-0041","AQS"
"03/10/2010","65","PM2.5","Grier School","37-071-0016","AQS"
"03/11/2010","44","PM2.5","Garinger High School","37-119-0041","AQS"
"03/12/2010","35","Ozone","Rockwell","37-159-0021","AQS"
"03/13/2010","45","Ozone","Rockwell","37-159-0021","AQS"
"03/14/2010","37","Ozone","Rockwell","37-159-0021","AQS"
"03/15/2010","37","Ozone","Rockwell","37-159-0021","AQS"
"03/16/2010","34","Ozone","Rockwell","37-159-0021","AQS"
"03/17/2010","46","Ozone","Rockwell","37-159-0021","AQS"
"03/18/2010","51","Ozone","Rockwell","37-159-0021","AQS"
"03/19/2010","77","Ozone","Rockwell","37-159-0021","AQS"
"03/20/2010","93","Ozone","Rockwell","37-159-0021","AQS"
"03/21/2010","53","PM2.5","Rockwell","37-159-0021","AQS"
"03/22/2010","33","Ozone","Rockwell","37-159-0021","AQS"
"03/23/2010","44","Ozone","Enochville School","37-159-0022","AQS"
"03/24/2010","61","Ozone","Enochville School","37-159-0022","AQS"
"03/25/2010","70","PM2.5","OAKDALE","37-119-0043","AQS"
"03/26/2010","42","Ozone","Rockwell","37-159-0021","AQS"
"03/27/2010","44","Ozone","Rockwell","37-159-0021","AQS"
"03/28/2010","43","Ozone","Monroe School","37-179-0003","AQS"
"03/29/2010","44","Ozone","Enochville School","37-159-0022","AQS"
"03/30/2010","46","Ozone","Enochville School","37-159-0022","AQS"
"03/31/2010","50","Ozone","Rockwell","37-159-0021","AQS"
"04/01/2010","87","Ozone","Rockwell","37-159-0021","AQS"
"04/02/2010","122","Ozone","Enochville School","37-159-0022","AQS"
"04/03/2010","93","Ozone","Enochville School","37-159-0022","AQS"
"04/04/2010","87","Ozone","County Line","37-119-1009","AQS"
"04/05/2010","87","Ozone","Rockwell","37-159-0021","AQS"
"04/06/2010","71","Ozone","Enochville School","37-159-0022","AQS"
"04/07/2010","71","Ozone","Enochville School","37-159-0022","AQS"
"04/08/2010","53","PM2.5","Garinger High School","37-119-0041","AQS"
"04/09/2010","48","Ozone","County Line","37-119-1009","AQS"
"04/10/2010","64","Ozone","Arrowood","37-119-1005","AQS"
"04/11/2010","87","Ozone","Garinger High School","37-119-0041","AQS"
"04/12/2010","108","Ozone","Garinger High School","37-119-0041","AQS"
"04/13/2010","108","Ozone","Rockwell","37-159-0021","AQS"
"04/14/2010","54","PM2.5","Garinger High School","37-119-0041","AQS"
"04/15/2010","84","Ozone","Crouse","37-109-0004","AQS"
"04/16/2010","100","Ozone","Crouse","37-109-0004","AQS"
"04/17/2010","67","Ozone","Monroe School","37-179-0003","AQS"
"04/18/2010","61","Ozone","Monroe School","37-179-0003","AQS"
"04/19/2010","45","Ozone","Enochville School","37-159-0022","AQS"
"04/20/2010","57","PM2.5","Rockwell","37-159-0021","AQS"
"04/21/2010","56","PM2.5","Rockwell","37-159-0021","AQS"
"04/22/2010","93","Ozone","Monroe School","37-179-0003","AQS"
"04/23/2010","97","Ozone","County Line","37-119-1009","AQS"
"04/24/2010","58","PM2.5","Rockwell","37-159-0021","AQS"
"04/25/2010","49","Ozone","Crouse","37-109-0004","AQS"
"04/26/2010","44","Ozone","County Line","37-119-1009","AQS"
"04/27/2010","42","Ozone","Rockwell","37-159-0021","AQS"
"04/28/2010","44","Ozone","County Line","37-119-1009","AQS"
"04/29/2010","77","Ozone","Rockwell","37-159-0021","AQS"
"04/30/2010","93","Ozone","Rockwell","37-159-0021","AQS"
"05/01/2010","59","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"05/02/2010","67","PM2.5","Garinger High School","37-119-0041","AQS"
"05/03/2010","53","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"05/04/2010","71","Ozone","Enochville School","37-159-0022","AQS"
"05/05/2010","100","Ozone","Enochville School","37-159-0022","AQS"
"05/06/2010","129","Ozone","Rockwell","37-159-0021","AQS"
"05/07/2010","126","Ozone","Crouse","37-109-0004","AQS"
"05/08/2010","61","Ozone","Enochville School","37-159-0022","AQS"
"05/09/2010","44","Ozone","Enochville School","37-159-0022","AQS"
"05/10/2010","50","Ozone","Enochville School","37-159-0022","AQS"
"05/11/2010","48","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"05/12/2010","55","PM2.5","OAKDALE","37-119-0043","AQS"
"05/13/2010","67","Ozone","Rockwell","37-159-0021","AQS"
"05/14/2010","87","Ozone","Enochville School","37-159-0022","AQS"
"05/15/2010","71","Ozone","County Line","37-119-1009","AQS"
"05/16/2010","58","PM2.5","Garinger High School","37-119-0041","AQS"
"05/17/2010","49","PM2.5","Garinger High School","37-119-0041","AQS"
"05/18/2010","39","Ozone","Garinger High School","37-119-0041","AQS"
"05/19/2010","47","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"05/20/2010","58","PM2.5","Rockwell","37-159-0021","AQS"
"05/21/2010","55","PM2.5","Garinger High School","37-119-0041","AQS"
"05/22/2010","53","PM2.5","OAKDALE","37-119-0043","AQS"
"05/23/2010","64","PM2.5","Garinger High School","37-119-0041","AQS"
"05/24/2010","44","Ozone","Enochville School","37-159-0022","AQS"
"05/25/2010","31","PM2.5","Garinger High School","37-119-0041","AQS"
"05/26/2010","54","Ozone","Enochville School","37-159-0022","AQS"
"05/27/2010","90","Ozone","Arrowood","37-119-1005","AQS"
"05/28/2010","77","Ozone","Enochville School","37-159-0022","AQS"
"05/29/2010","61","Ozone","Crouse","37-109-0004","AQS"
"05/30/2010","44","PM2.5","Rockwell","37-159-0021","AQS"
"05/31/2010","28","PM2.5","Rockwell","37-159-0021","AQS"
"06/01/2010","48","Ozone","County Line","37-119-1009","AQS"
"06/02/2010","58","Ozone","Enochville School","37-159-0022","AQS"
"06/03/2010","77","Ozone","Enochville School","37-159-0022","AQS"
"06/04/2010","62","PM2.5","Rockwell","37-159-0021","AQS"
"06/05/2010","51","PM2.5","Garinger High School","37-119-0041","AQS"
"06/06/2010","45","PM2.5","Rockwell","37-159-0021","AQS"
"06/07/2010","54","Ozone","Monroe School","37-179-0003","AQS"
"06/08/2010","101","Ozone","County Line","37-119-1009","AQS"
"06/09/2010","59","PM2.5","Garinger High School","37-119-0041","AQS"
"06/10/2010","45","PM2.5","Montclaire Elementary School","37-119-0042","AQS"
"06/11/2010","126","Ozone","Arrowood","37-119-1005","AQS"
"06/12/2010","122","Ozone","County Line","37-119-1009","AQS"
"06/13/2010","63","PM2.5","Garinger High School","37-119-0041","AQS"
"06/14/2010","54","Ozone","Monroe School","37-179-0003","AQS"
"06/15/2010","87","Ozone","Garinger High School","37-119-0041","AQS"
"06/16/2010","126","Ozone","County Line","37-119-1009","AQS"
"06/17/2010","71","Ozone","County Line","37-119-1009","AQS"
"06/18/2010","112","Ozone","Enochville School","37-159-0022","AQS"
"06/19/2010","97","Ozone","County Line","37-119-1009","AQS"
"06/20/2010","77","Ozone","Arrowood","37-119-1005","AQS"
"06/21/2010","140","Ozone","Arrowood","37-119-1005","AQS"
"06/22/2010","105","Ozone","County Line","37-119-1009","AQS"
"06/23/2010","151","Ozone","County Line","37-119-1009","AQS"
