"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/02/2010","77","PM2.5","PERSHING SCHOOL","17-197-1002","AQS"
"01/03/2010","86","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/04/2010","85","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/05/2010","66","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"01/06/2010","84","NO2","CTA BUILDING","17-031-0063","AQS"
"01/07/2010","89","PM2.5","WASHINGTON HS","17-031-0022","AQS"
"01/08/2010","61","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/09/2010","72","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/10/2010","75","PM2.5","WASHINGTON HS","17-031-0022","AQS"
"01/11/2010","75","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/12/2010","56","NO2","CTA BUILDING","17-031-0063","AQS"
"01/13/2010","76","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"01/14/2010","80","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"01/15/2010","97","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"01/16/2010","94","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"01/17/2010","99","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/18/2010","79","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"01/19/2010","74","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/20/2010","65","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS"
"01/21/2010","54","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/22/2010","80","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/23/2010","88","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/24/2010","52","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/25/2010","48","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/26/2010","55","PM2.5","WASHINGTON HS","17-031-0022","AQS"
"01/27/2010","52","PM2.5","WASHINGTON HS","17-031-0022","AQS"
"01/28/2010","56","NO2","CTA BUILDING","17-031-0063","AQS"
"01/29/2010","62","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"01/30/2010","58","PM2.5","CITY HALL","17-043-4002","AQS"
"01/31/2010","84","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/01/2010","116","PM2.5","WASHINGTON HS","17-031-0022","AQS"
"02/02/2010","131","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/03/2010","123","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"02/04/2010","132","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/05/2010","93","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"02/06/2010","39","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"02/07/2010","43","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS"
"02/08/2010","68","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/09/2010","52","PM2.5","CITY HALL","17-043-4002","AQS"
"02/10/2010","63","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/11/2010","78","NO2","COOK COUNTY TRAILER","17-031-4002","AQS"
"02/12/2010","87","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS"
"02/13/2010","81","PM2.5","Ogden Dunes- Water Treatment Plant","18-127-0024","AQS"
"02/14/2010","90","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS"
"02/15/2010","80","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/16/2010","84","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/17/2010","52","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
