"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","58","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/02/2010","51","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/03/2010","57","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/04/2010","53","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/05/2010","57","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/06/2010","69","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/07/2010","86","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/08/2010","71","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/09/2010","31","Ozone","Chippewa","39-103-0004","AQS"
"01/10/2010","62","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/11/2010","75","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/12/2010","64","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/13/2010","72","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/14/2010","92","PM2.5","St Theodosius","39-035-0038","AQS"
"01/15/2010","93","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/16/2010","81","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/17/2010","97","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/18/2010","85","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/19/2010","67","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/20/2010","55","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/21/2010","56","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/22/2010","74","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/23/2010","64","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/24/2010","61","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/25/2010","54","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/26/2010","48","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/27/2010","51","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/28/2010","62","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/29/2010","39","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"01/30/2010","56","PM2.5","St Theodosius","39-035-0038","AQS"
"01/31/2010","70","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/01/2010","82","PM2.5","St Theodosius","39-035-0038","AQS"
"02/02/2010","115","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/03/2010","124","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/04/2010","96","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/05/2010","87","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/06/2010","38","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/07/2010","42","PM2.5","St Theodosius","39-035-0038","AQS"
"02/08/2010","81","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/09/2010","77","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/10/2010","66","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/11/2010","65","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/12/2010","67","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/13/2010","77","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/14/2010","71","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/15/2010","99","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/16/2010","66","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/17/2010","56","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/18/2010","62","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
"02/19/2010","80","PM2.5","GT Craig NCore PAMS","39-035-0060","AQS"
