"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","54","PM2.5","Denver Swansea Elementary School","08-031-0023","AQS"
"01/02/2010","75","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/03/2010","43","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/04/2010","60","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/05/2010","56","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/06/2010","40","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/07/2010","70","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/08/2010","92","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/09/2010","69","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/10/2010","57","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/11/2010","61","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/12/2010","57","PM10","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/13/2010","54","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/14/2010","72","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/15/2010","57","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/16/2010","51","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/17/2010","53","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/18/2010","57","PM2.5","Denver Swansea Elementary School","08-031-0023","AQS"
"01/19/2010","64","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/20/2010","52","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/21/2010","58","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/22/2010","57","PM2.5","Denver Swansea Elementary School","08-031-0023","AQS"
"01/23/2010","44","NO2","DENVER - CAMP","08-031-0002","AQS"
"01/24/2010","41","Ozone","WELCH","08-059-0005","AQS"
"01/25/2010","43","Ozone","ROCKY FLATS-N","08-059-0006","AQS"
"01/26/2010","59","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/27/2010","52","PM2.5","Denver Swansea Elementary School","08-031-0023","AQS"
"01/28/2010","59","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"01/29/2010","66","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/30/2010","43","Ozone","Aurora East","08-005-0006","AQS"
"01/31/2010","43","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"02/01/2010","45","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/02/2010","44","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/03/2010","57","PM10","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/04/2010","48","PM2.5","Denver Swansea Elementary School","08-031-0023","AQS"
"02/05/2010","53","NO2","Welby","08-001-3001","AQS"
"02/06/2010","74","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"02/07/2010","79","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/08/2010","36","Ozone","Aurora East","08-005-0006","AQS"
"02/09/2010","57","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"02/10/2010","71","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/11/2010","54","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/12/2010","46","Ozone","ROCKY FLATS-N","08-059-0006","AQS"
"02/13/2010","48","Ozone","Chatfield State Park","08-035-0004","AQS"
"02/14/2010","43","Ozone","Aurora East","08-005-0006","AQS"
"02/15/2010","50","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/16/2010","52","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/17/2010","51","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/18/2010","44","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/19/2010","42","Ozone","Aurora East","08-005-0006","AQS"
"02/20/2010","39","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/21/2010","45","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"02/22/2010","63","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"02/23/2010","57","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/24/2010","56","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/25/2010","56","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/26/2010","45","NO2","DENVER - CAMP","08-031-0002","AQS"
"02/27/2010","54","Ozone","Kenosha Pass","08-093-0001","AQS"
"02/28/2010","48","PM2.5","Arapahoe Community College","08-005-0005","AQS"
"03/01/2010","59","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"03/02/2010","48","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/03/2010","59","PM2.5","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"03/04/2010","51","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/05/2010","58","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/06/2010","61","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/07/2010","62","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"03/08/2010","56","PM2.5","Denver Swansea Elementary School","08-031-0023","AQS"
"03/09/2010","54","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/10/2010","58","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/11/2010","50","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/12/2010","51","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/13/2010","54","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/14/2010","44","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/15/2010","66","PM2.5","DENVER MUNICIPAL ANIMAL SHELTER","08-031-0025","AQS"
"03/16/2010","54","Ozone","Aurora East","08-005-0006","AQS"
"03/17/2010","58","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/18/2010","62","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/19/2010","40","Ozone","Aurora East","08-005-0006","AQS"
"03/20/2010","55","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/21/2010","56","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/22/2010","62","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/23/2010","54","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/24/2010","100","Ozone","Aurora East","08-005-0006","AQS"
"03/25/2010","84","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/26/2010","67","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/27/2010","47","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/28/2010","80","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/29/2010","64","Ozone","Kenosha Pass","08-093-0001","AQS"
"03/30/2010","66","NO2","DENVER - CAMP","08-031-0002","AQS"
"03/31/2010","63","NO2","DENVER - CAMP","08-031-0002","AQS"
"04/01/2010","71","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/02/2010","51","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/03/2010","61","Ozone","Aurora East","08-005-0006","AQS"
"04/04/2010","87","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/05/2010","71","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/06/2010","77","Ozone","Aspen Park","08-059-0013","AQS"
"04/07/2010","61","Ozone","Aurora East","08-005-0006","AQS"
"04/08/2010","54","Ozone","Aurora East","08-005-0006","AQS"
"04/09/2010","71","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/10/2010","84","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/11/2010","80","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/12/2010","64","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/13/2010","133","Ozone","Aspen Park","08-059-0013","AQS"
"04/14/2010","133","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/15/2010","93","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/16/2010","48","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/17/2010","67","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/18/2010","80","Ozone","HIGHLAND RESERVOIR","08-005-0002","AQS"
"04/19/2010","84","Ozone","HIGHLAND RESERVOIR","08-005-0002","AQS"
"04/20/2010","77","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/21/2010","52","PM2.5","DENVER - CAMP","08-031-0002","AQS"
"04/22/2010","67","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/23/2010","64","Ozone","Aurora East","08-005-0006","AQS"
"04/24/2010","64","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/25/2010","48","Ozone","DENVER - CARRIAGE","08-031-0014","AQS"
"04/26/2010","50","Ozone","Welby","08-001-3001","AQS"
"04/27/2010","61","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/28/2010","58","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/29/2010","80","Ozone","Kenosha Pass","08-093-0001","AQS"
"04/30/2010","42","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/01/2010","49","Ozone","Aurora East","08-005-0006","AQS"
"05/02/2010","44","Ozone","Aurora East","08-005-0006","AQS"
"05/03/2010","51","Ozone","Aurora East","08-005-0006","AQS"
"05/04/2010","54","Ozone","Chatfield State Park","08-035-0004","AQS"
"05/05/2010","74","Ozone","Aurora East","08-005-0006","AQS"
"05/06/2010","77","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/07/2010","74","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/08/2010","51","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/09/2010","105","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/10/2010","100","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/11/2010","51","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/12/2010","64","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/13/2010","58","Ozone","Aurora East","08-005-0006","AQS"
"05/14/2010","49","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/15/2010","84","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/16/2010","77","Ozone","HIGHLAND RESERVOIR","08-005-0002","AQS"
"05/17/2010","74","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/18/2010","87","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/19/2010","71","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/20/2010","80","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/21/2010","74","Ozone","Chatfield State Park","08-035-0004","AQS"
"05/22/2010","71","Ozone","Chatfield State Park","08-035-0004","AQS"
"05/23/2010","77","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/24/2010","115","Ozone","Aurora East","08-005-0006","AQS"
"05/25/2010","93","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/26/2010","87","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/27/2010","115","Ozone","ROCKY FLATS-N","08-059-0006","AQS"
"05/28/2010","84","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/29/2010","77","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/30/2010","105","Ozone","Kenosha Pass","08-093-0001","AQS"
"05/31/2010","84","Ozone","Kenosha Pass","08-093-0001","AQS"
"06/01/2010","80","Ozone","Kenosha Pass","08-093-0001","AQS"
