"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","83","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/02/2010","51","PM2.5","BOSTON CITY SQUARE","25-025-0027","AQS"
"01/03/2010","31","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"01/04/2010","30","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"01/05/2010","33","NO2","531A EAST FIRST STREET","25-025-0040","AQS"
"01/06/2010","30","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"01/07/2010","39","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/08/2010","52","PM2.5","BOSTON CITY SQUARE","25-025-0027","AQS"
"01/09/2010","38","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/10/2010","39","NO2","531A EAST FIRST STREET","25-025-0040","AQS"
"01/11/2010","62","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/12/2010","52","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/13/2010","46","NO2","BOSTON KENMORE SQ","25-025-0002","AQS"
"01/14/2010","64","PM2.5","BOSTON CITY SQUARE","25-025-0027","AQS"
"01/15/2010","77","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/16/2010","55","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/17/2010","61","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"01/18/2010","33","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"01/19/2010","64","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/20/2010","55","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/21/2010","55","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/22/2010","51","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/23/2010","55","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS"
"01/24/2010","81","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS"
"01/25/2010","42","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"01/26/2010","34","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/27/2010","50","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"01/28/2010","56","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/29/2010","38","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"01/30/2010","44","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"01/31/2010","38","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/01/2010","41","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/02/2010","44","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/03/2010","69","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/04/2010","44","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/05/2010","43","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/06/2010","35","Ozone","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"02/07/2010","37","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/08/2010","34","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/09/2010","46","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"02/10/2010","42","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"02/11/2010","38","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/12/2010","40","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/13/2010","44","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/14/2010","37","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/15/2010","44","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"02/16/2010","56","PM2.5","BOSTON KENMORE SQ","25-025-0002","AQS"
"02/17/2010","47","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/18/2010","36","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/19/2010","35","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/20/2010","38","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/21/2010","38","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"02/22/2010","36","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"02/23/2010","37","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"02/24/2010","41","Ozone","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"02/25/2010","56","PM2.5","BOSTON KENMORE SQ","25-025-0002","AQS"
"02/26/2010","32","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/27/2010","53","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"02/28/2010","66","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"03/01/2010","37","Ozone","USEPA REGION 1 LAB","25-017-0009","AQS"
"03/02/2010","39","Ozone","BOSTON LONG ISLAND","25-025-0041","AQS"
"03/03/2010","41","Ozone","BOSTON LONG ISLAND","25-025-0041","AQS"
"03/04/2010","40","Ozone","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"03/05/2010","44","Ozone","BOSTON LONG ISLAND","25-025-0041","AQS"
"03/06/2010","47","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"03/07/2010","51","Ozone","inactive military resv 680 hudson rd sudbury ma 2 mi on left","25-017-1102","AQS"
"03/08/2010","55","PM2.5","NORTH END SITE CENTRAL ARTERY","25-025-0043","AQS"
"03/09/2010","47","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"03/10/2010","48","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
