"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","67","PM10","SOUTH PHOENIX","04-013-4003","AQS"
"01/02/2010","71","PM2.5","WEST PHOENIX","04-013-0019","AQS"
"01/03/2010","63","PM10","COWTOWN","04-021-3013","AQS"
"01/04/2010","78","NO2","GREENWOOD","04-013-3010","AQS"
"01/05/2010","89","PM10","COWTOWN","04-021-3013","AQS"
"01/06/2010","100","PM10","COWTOWN","04-021-3013","AQS"
"01/07/2010","100","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/08/2010","94","PM10","STANFIELD","04-021-3008","AQS"
"01/09/2010","69","PM10","COWTOWN","04-021-3013","AQS"
"01/10/2010","80","PM10","COWTOWN","04-021-3013","AQS"
"01/11/2010","74","PM10","COWTOWN","04-021-3013","AQS"
"01/12/2010","97","PM10","COWTOWN","04-021-3013","AQS"
"01/13/2010","136","PM10","COWTOWN","04-021-3013","AQS"
"01/14/2010","49","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/15/2010","70","NO2","GREENWOOD","04-013-3010","AQS"
"01/16/2010","74","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/17/2010","72","PM10","COWTOWN","04-021-3013","AQS"
"01/18/2010","43","NO2","GREENWOOD","04-013-3010","AQS"
"01/19/2010","88","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/20/2010","44","NO2","GREENWOOD","04-013-3010","AQS"
"01/21/2010","1657","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/22/2010","42","Ozone","BLUE POINT-SHERIFF STATION-TONTO NF-SALT RIVER RECREATION AREA","04-013-9702","AQS"
"01/23/2010","41","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS"
"01/24/2010","42","NO2","GREENWOOD","04-013-3010","AQS"
"01/25/2010","51","NO2","GREENWOOD","04-013-3010","AQS"
"01/26/2010","69","PM2.5","COWTOWN","04-021-3013","AQS"
"01/27/2010","49","NO2","GREENWOOD","04-013-3010","AQS"
"01/28/2010","36","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS"
"01/29/2010","42","NO2","GREENWOOD","04-013-3010","AQS"
"01/30/2010","42","NO2","GREENWOOD","04-013-3010","AQS"
"01/31/2010","46","NO2","GREENWOOD","04-013-3010","AQS"
"02/01/2010","55","PM2.5","COWTOWN","04-021-3013","AQS"
"02/02/2010","47","NO2","GREENWOOD","04-013-3010","AQS"
"02/03/2010","49","PM10","COWTOWN","04-021-3013","AQS"
"02/04/2010","52","NO2","GREENWOOD","04-013-3010","AQS"
"02/05/2010","46","PM10","MARICOPA","04-021-3010","AQS"
"02/06/2010","41","NO2","GREENWOOD","04-013-3010","AQS"
"02/07/2010","47","PM10","STANFIELD","04-021-3008","AQS"
"02/08/2010","49","NO2","GREENWOOD","04-013-3010","AQS"
"02/09/2010","53","NO2","GREENWOOD","04-013-3010","AQS"
"02/10/2010","39","NO2","GREENWOOD","04-013-3010","AQS"
"02/11/2010","41","NO2","CENTRAL PHOENIX","04-013-3002","AQS"
"02/12/2010","47","NO2","CENTRAL PHOENIX","04-013-3002","AQS"
"02/13/2010","62","PM2.5","SOUTH PHOENIX","04-013-4003","AQS"
"02/14/2010","48","NO2","GREENWOOD","04-013-3010","AQS"
"02/15/2010","54","NO2","GREENWOOD","04-013-3010","AQS"
"02/16/2010","70","PM10","COWTOWN","04-021-3013","AQS"
"02/17/2010","61","NO2","GREENWOOD","04-013-3010","AQS"
"02/18/2010","53","NO2","GREENWOOD","04-013-3010","AQS"
"02/19/2010","52","PM10","MARICOPA","04-021-3010","AQS"
"02/20/2010","46","NO2","GREENWOOD","04-013-3010","AQS"
"02/21/2010","40","Ozone","SOUTH PHOENIX","04-013-4003","AQS"
"02/22/2010","44","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"02/23/2010","54","NO2","GREENWOOD","04-013-3010","AQS"
"02/24/2010","50","NO2","GREENWOOD","04-013-3010","AQS"
"02/25/2010","44","NO2","GREENWOOD","04-013-3010","AQS"
"02/26/2010","52","NO2","GREENWOOD","04-013-3010","AQS"
"02/27/2010","53","PM10","MARICOPA","04-021-3010","AQS"
"02/28/2010","36","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS"
"03/01/2010","44","NO2","GREENWOOD","04-013-3010","AQS"
"03/02/2010","43","NO2","CENTRAL PHOENIX","04-013-3002","AQS"
"03/03/2010","54","NO2","GREENWOOD","04-013-3010","AQS"
"03/04/2010","45","NO2","GREENWOOD","04-013-3010","AQS"
"03/05/2010","52","NO2","GREENWOOD","04-013-3010","AQS"
"03/06/2010","49","PM10","STANFIELD","04-021-3008","AQS"
"03/07/2010","42","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS"
"03/08/2010","41","Ozone","WEST PHOENIX","04-013-0019","AQS"
"03/09/2010","59","PM10","COWTOWN","04-021-3013","AQS"
"03/10/2010","45","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS"
"03/11/2010","52","PM10","COWTOWN","04-021-3013","AQS"
"03/12/2010","46","NO2","CENTRAL PHOENIX","04-013-3002","AQS"
"03/13/2010","50","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"03/14/2010","45","Ozone","PINNACLE PEAK","04-013-2005","AQS"
"03/15/2010","74","Ozone","WEST PHOENIX","04-013-0019","AQS"
"03/16/2010","60","NO2","CENTRAL PHOENIX","04-013-3002","AQS"
"03/17/2010","63","PM10","COWTOWN","04-021-3013","AQS"
"03/18/2010","59","PM10","COWTOWN","04-021-3013","AQS"
"03/19/2010","51","Ozone","A J MAINTENANCE YARD","04-021-3001","AQS"
"03/20/2010","58","PM10","COWTOWN","04-021-3013","AQS"
"03/21/2010","74","PM10","COWTOWN","04-021-3013","AQS"
"03/22/2010","68","PM10","COWTOWN","04-021-3013","AQS"
"03/23/2010","45","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"03/24/2010","49","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"03/25/2010","52","NO2","CENTRAL PHOENIX","04-013-3002","AQS"
"03/26/2010","69","PM10","COWTOWN","04-021-3013","AQS"
"03/27/2010","56","PM10","STANFIELD","04-021-3008","AQS"
"03/28/2010","49","Ozone","WEST PHOENIX","04-013-0019","AQS"
"03/29/2010","58","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"03/30/2010","64","PM10","COWTOWN","04-021-3013","AQS"
"03/31/2010","89","PM10","STANFIELD","04-021-3008","AQS"
"04/01/2010","58","PM10","COWTOWN","04-021-3013","AQS"
"04/02/2010","122","PM10","COWTOWN","04-021-3013","AQS"
"04/03/2010","80","Ozone","CAVE CREEK","04-013-4008","AQS"
"04/04/2010","64","Ozone","NORTH PHOENIX","04-013-1004","AQS"
"04/05/2010","74","PM10","COWTOWN","04-021-3013","AQS"
"04/06/2010","74","PM10","COWTOWN","04-021-3013","AQS"
"04/07/2010","84","Ozone","St Johns Air Monitoring Site","04-013-7003","AQS"
"04/08/2010","90","Ozone","St Johns Air Monitoring Site","04-013-7003","AQS"
"04/09/2010","90","Ozone","QUEEN VALLEY","04-021-8001","AQS"
"04/10/2010","97","PM10","COWTOWN","04-021-3013","AQS"
"04/11/2010","70","PM10","COWTOWN","04-021-3013","AQS"
"04/12/2010","91","PM10","COWTOWN","04-021-3013","AQS"
"04/13/2010","74","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS"
"04/14/2010","100","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS"
