"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","30","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/02/2010","27","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/03/2010","28","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/04/2010","30","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/05/2010","38","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/06/2010","26","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/07/2010","65","PM2.5","MILWAUKEE - COLLEGE AVE. PARK & RIDE","55-079-0058","AQS"
"01/08/2010","32","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/09/2010","28","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/10/2010","27","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/11/2010","55","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/12/2010","25","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/13/2010","34","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/14/2010","84","PM2.5","HARRINGTON BEACH PARK","55-089-0009","AQS"
"01/15/2010","22","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/16/2010","25","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/17/2010","83","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"01/18/2010","39","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/19/2010","32","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/20/2010","36","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/21/2010","41","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/22/2010","59","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/23/2010","75","PM2.5","MILWAUKEE - SIXTEENTH ST. HEALTH CENTER","55-079-0010","AQS"
"01/24/2010","21","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/25/2010","38","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/26/2010","43","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"01/27/2010","31","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/28/2010","31","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/29/2010","40","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"01/30/2010","26","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"01/31/2010","31","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/01/2010","70","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/02/2010","100","PM2.5","MILWAUKEE - COLLEGE AVE. PARK & RIDE","55-079-0058","AQS"
"02/03/2010","41","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/04/2010","119","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"02/05/2010","36","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/06/2010","36","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/07/2010","73","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/08/2010","32","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/09/2010","34","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/10/2010","38","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/11/2010","45","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/12/2010","42","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/13/2010","58","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"02/14/2010","56","PM2.5","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/15/2010","32","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/16/2010","33","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/17/2010","31","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/18/2010","45","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/19/2010","54","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"02/20/2010","45","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/21/2010","91","PM2.5","MILWAUKEE - SIXTEENTH ST. HEALTH CENTER","55-079-0010","AQS"
"02/22/2010","35","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"02/23/2010","60","PM2.5","MILWAUKEE - COLLEGE AVE. PARK & RIDE","55-079-0058","AQS"
"02/24/2010","45","PM2.5","MILWAUKEE - COLLEGE AVE. PARK & RIDE","55-079-0058","AQS"
"02/25/2010","33","PM2.5","MILWAUKEE - COLLEGE AVE. PARK & RIDE","55-079-0058","AQS"
"02/26/2010","34","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/27/2010","33","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"02/28/2010","35","Ozone","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"03/01/2010","44","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"03/02/2010","38","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"03/03/2010","55","PM2.5","WAUKESHA - CLEVELAND AVE","55-133-0027","AQS"
"03/04/2010","47","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
"03/05/2010","44","NO2","MILWAUKEE - SER DNR HDQRS","55-079-0026","AQS"
