"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","25","PM2.5","Lockeland","47-037-0023","AQS"
"01/02/2010","36","PM2.5","Lockeland","47-037-0023","AQS"
"01/03/2010","31","PM2.5","Lockeland","47-037-0023","AQS"
"01/04/2010","33","PM2.5","Lockeland","47-037-0023","AQS"
"01/05/2010","38","PM2.5","Lockeland","47-037-0023","AQS"
"01/06/2010","44","PM2.5","Lockeland","47-037-0023","AQS"
"01/07/2010","45","PM2.5","Lockeland","47-037-0023","AQS"
"01/08/2010","37","PM2.5","Lockeland","47-037-0023","AQS"
"01/09/2010","37","PM2.5","Lockeland","47-037-0023","AQS"
"01/10/2010","43","PM2.5","Lockeland","47-037-0023","AQS"
"01/11/2010","43","PM2.5","Lockeland","47-037-0023","AQS"
"01/12/2010","52","PM2.5","Lockeland","47-037-0023","AQS"
"01/13/2010","62","PM2.5","Lockeland","47-037-0023","AQS"
"01/14/2010","70","PM2.5","Lockeland","47-037-0023","AQS"
"01/15/2010","64","PM2.5","Lockeland","47-037-0023","AQS"
"01/16/2010","63","PM2.5","Lockeland","47-037-0023","AQS"
"01/17/2010","33","PM2.5","Lockeland","47-037-0023","AQS"
"01/18/2010","52","PM2.5","Lockeland","47-037-0023","AQS"
"01/19/2010","54","PM2.5","Lockeland","47-037-0023","AQS"
"01/20/2010","46","PM2.5","Lockeland","47-037-0023","AQS"
"01/21/2010","41","PM2.5","Lockeland","47-037-0023","AQS"
"01/22/2010","31","PM2.5","Lockeland","47-037-0023","AQS"
"01/23/2010","33","PM2.5","Lockeland","47-037-0023","AQS"
"01/24/2010","26","NO2","East Health","47-037-0011","AQS"
"01/25/2010","24","PM2.5","Lockeland","47-037-0023","AQS"
"01/26/2010","34","PM2.5","Lockeland","47-037-0023","AQS"
"01/27/2010","48","NO2","East Health","47-037-0011","AQS"
"01/28/2010","34","PM2.5","Lockeland","47-037-0023","AQS"
"01/29/2010","23","PM2.5","Lockeland","47-037-0023","AQS"
"01/30/2010","41","PM2.5","Lockeland","47-037-0023","AQS"
"01/31/2010","57","PM2.5","Lockeland","47-037-0023","AQS"
"02/01/2010","77","PM2.5","Lockeland","47-037-0023","AQS"
"02/02/2010","58","PM2.5","Lockeland","47-037-0023","AQS"
