"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","108","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/02/2010","62","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/03/2010","60","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/04/2010","61","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/05/2010","64","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/06/2010","70","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/07/2010","52","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/08/2010","40","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/09/2010","67","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/10/2010","68","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/11/2010","57","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/12/2010","55","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/13/2010","46","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/14/2010","40","Ozone","Palo Verde","32-003-0073","AQS"
"01/15/2010","35","Ozone","Joe Neal","32-003-0075","AQS"
"01/16/2010","61","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/17/2010","57","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/18/2010","36","Ozone","Apex","32-003-0022","AQS"
"01/19/2010","36","Ozone","Jean","32-003-1019","AQS"
"01/20/2010","39","Ozone","Jean","32-003-1019","AQS"
"01/21/2010","41","Ozone","Palo Verde","32-003-0073","AQS"
"01/22/2010","41","Ozone","Jean","32-003-1019","AQS"
"01/23/2010","38","Ozone","Jean","32-003-1019","AQS"
"01/24/2010","41","NO2","Joe Neal","32-003-0075","AQS"
"01/25/2010","47","PM2.5","JD Smith","32-003-2002","AQS"
"01/26/2010","43","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/27/2010","31","Ozone","Jean","32-003-1019","AQS"
"01/28/2010","36","Ozone","Walter Johnson","32-003-0071","AQS"
"01/29/2010","39","PM2.5","JD Smith","32-003-2002","AQS"
"01/30/2010","40","PM2.5","Sunrise Acres","32-003-0561","AQS"
"01/31/2010","50","PM2.5","Sunrise Acres","32-003-0561","AQS"
"02/01/2010","39","PM2.5","JD Smith","32-003-2002","AQS"
"02/02/2010","38","PM2.5","Sunrise Acres","32-003-0561","AQS"
"02/03/2010","39","PM2.5","Sunrise Acres","32-003-0561","AQS"
"02/04/2010","45","PM2.5","JD Smith","32-003-2002","AQS"
"02/05/2010","43","Ozone","Jean","32-003-1019","AQS"
"02/06/2010","38","Ozone","Jean","32-003-1019","AQS"
"02/07/2010","37","Ozone","Jean","32-003-1019","AQS"
"02/08/2010","41","PM2.5","Sunrise Acres","32-003-0561","AQS"
"02/09/2010","35","Ozone","Jean","32-003-1019","AQS"
"02/10/2010","40","Ozone","Jean","32-003-1019","AQS"
"02/11/2010","39","Ozone","Jean","32-003-1019","AQS"
"02/12/2010","43","PM2.5","Sunrise Acres","32-003-0561","AQS"
"02/13/2010","52","PM2.5","Sunrise Acres","32-003-0561","AQS"
"02/14/2010","42","Ozone","Jean","32-003-1019","AQS"
