"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","85","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"01/02/2010","37","Ozone","Lums Pond","10-003-1007","AQS"
"01/03/2010","32","Ozone","Lums Pond","10-003-1007","AQS"
"01/04/2010","40","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/05/2010","33","PM2.5","New Garden","42-029-0100","AQS"
"01/06/2010","30","Ozone","Lums Pond","10-003-1007","AQS"
"01/07/2010","42","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/08/2010","101","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/09/2010","37","PM2.5","Bristol","42-017-0012","AQS"
"01/10/2010","54","PM2.5","Bristol","42-017-0012","AQS"
"01/11/2010","69","PM2.5","Newark  PARKING LOT LAIRD CAMPUS","10-003-1012","AQS"
"01/12/2010","81","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/13/2010","57","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/14/2010","86","PM2.5","Bristol","42-017-0012","AQS"
"01/15/2010","95","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/16/2010","88","PM2.5","Chester","42-045-0002","AQS"
"01/17/2010","94","PM2.5","Chester","42-045-0002","AQS"
"01/18/2010","84","PM2.5","Bristol","42-017-0012","AQS"
"01/19/2010","87","PM2.5","Bristol","42-017-0012","AQS"
"01/20/2010","59","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/21/2010","56","PM2.5","Bristol","42-017-0012","AQS"
"01/22/2010","62","PM2.5","Chester","42-045-0002","AQS"
"01/23/2010","54","PM2.5","A420910013LAT/LON POINT IS OF CORNER OF TRAILER","42-091-0013","AQS"
"01/24/2010","49","PM2.5","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"01/25/2010","41","NO2","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"01/26/2010","40","PM2.5","Chester","42-045-0002","AQS"
"01/27/2010","53","PM2.5","New Garden","42-029-0100","AQS"
"01/28/2010","100","PM2.5","Air Management Services Laboratory (AMS LAB)","42-101-0004","AQS"
"01/29/2010","38","PM2.5","South Camden","34-007-0010","AQS"
"01/30/2010","38","PM2.5","Chester","42-045-0002","AQS"
"01/31/2010","43","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/01/2010","100","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/02/2010","86","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/03/2010","101","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/04/2010","84","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/05/2010","93","PM2.5","Chester","42-045-0002","AQS"
"02/06/2010","71","PM2.5","Chester","42-045-0002","AQS"
"02/07/2010","52","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/08/2010","40","Ozone","Lums Pond","10-003-1007","AQS"
"02/09/2010","62","PM2.5","Fire Administration Building (FAB)","42-101-0057","AQS"
"02/10/2010","44","PM2.5","Chester","42-045-0002","AQS"
"02/11/2010","40","Ozone","Lums Pond","10-003-1007","AQS"
"02/12/2010","55","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/13/2010","70","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/14/2010","55","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/15/2010","62","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"02/16/2010","70","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/17/2010","58","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"02/18/2010","40","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/19/2010","44","Ozone","Lums Pond","10-003-1007","AQS"
"02/20/2010","52","PM2.5","New Garden","42-029-0100","AQS"
"02/21/2010","59","PM2.5","New Garden","42-029-0100","AQS"
"02/22/2010","61","PM2.5","Chester","42-045-0002","AQS"
"02/23/2010","76","PM2.5","Chester","42-045-0002","AQS"
"02/24/2010","40","PM2.5","Fair Hill Natural Resource Management Area","24-015-0003","AQS"
"02/25/2010","53","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/26/2010","32","Ozone","Lums Pond","10-003-1007","AQS"
"02/27/2010","49","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"02/28/2010","65","PM2.5","Ritner (RIT)","42-101-0055","AQS"
"03/01/2010","36","Ozone","Lums Pond","10-003-1007","AQS"
"03/02/2010","43","PM2.5","Chester","42-045-0002","AQS"
"03/03/2010","64","PM2.5","Chester","42-045-0002","AQS"
"03/04/2010","43","Ozone","Lums Pond","10-003-1007","AQS"
"03/05/2010","44","Ozone","Lums Pond","10-003-1007","AQS"
"03/06/2010","46","Ozone","Lums Pond","10-003-1007","AQS"
"03/07/2010","56","NO2","Air Management Services Laboratory (AMS LAB)","42-101-0004","AQS"
"03/08/2010","65","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"03/09/2010","66","PM10","Camden RRF","34-007-0009","AQS"
"03/10/2010","76","PM2.5","New Garden","42-029-0100","AQS"
"03/11/2010","87","PM2.5","New Garden","42-029-0100","AQS"
"03/12/2010","78","PM2.5","Chester","42-045-0002","AQS"
"03/13/2010","47","Ozone","Lums Pond","10-003-1007","AQS"
"03/14/2010","40","Ozone","Ancora State Hospital","34-007-1001","AQS"
"03/15/2010","40","Ozone","Lums Pond","10-003-1007","AQS"
"03/16/2010","52","NO2","COMMUNITY HEALTH SERVICES (CHS)","42-101-0047","AQS"
"03/17/2010","52","PM2.5","MLK  CORNER OF MLK BLVD AND JUSTISON ST","10-003-2004","AQS"
"03/18/2010","59","PM2.5","South Camden","34-007-0010","AQS"
"03/19/2010","67","Ozone","Ancora State Hospital","34-007-1001","AQS"
"03/20/2010","97","Ozone","Ancora State Hospital","34-007-1001","AQS"
