"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","19","","Earhart","48-113-0061","AQS"
"01/08/2010","17","","Earhart","48-113-0061","AQS"
"01/14/2010","28","","Convention Center","48-113-0050","AQS"
"01/20/2010","54","","Earhart","48-113-0061","AQS"
"01/26/2010","28","","Convention Center","48-113-0050","AQS"
"02/01/2010","29","","Convention Center","48-113-0050","AQS"
"02/07/2010","19","","Stage Coach","48-439-3010","AQS"
"02/13/2010","16","","Convention Center","48-113-0050","AQS"
"02/19/2010","28","","Earhart","48-113-0061","AQS"
"02/25/2010","21","","Earhart","48-113-0061","AQS"
"03/03/2010","52","","Earhart","48-113-0061","AQS"
"03/09/2010","20","","Earhart","48-113-0061","AQS"
"03/15/2010","15","","Earhart","48-113-0061","AQS"
"03/21/2010","4","","Earhart","48-113-0061","AQS"
"03/27/2010","29","","Earhart","48-113-0061","AQS"
"04/02/2010","31","","Earhart","48-113-0061","AQS"
"04/08/2010","27","","Earhart","48-113-0061","AQS"
"04/14/2010","28","","Earhart","48-113-0061","AQS"
"04/20/2010","29","","Dallas North #2","48-113-0075","AQS"
"04/26/2010","19","","Earhart","48-113-0061","AQS"
"05/02/2010","19","","Earhart","48-113-0061","AQS"
"05/08/2010","19","","Earhart","48-113-0061","AQS"
"05/14/2010","19","","Earhart","48-113-0061","AQS"
"05/20/2010","21","","Earhart","48-113-0061","AQS"
"05/26/2010","35","","Earhart","48-113-0061","AQS"
"06/01/2010","30","","Earhart","48-113-0061","AQS"
"06/07/2010","39","","Earhart","48-113-0061","AQS"
"06/13/2010","28","","Earhart","48-113-0061","AQS"
"06/19/2010","22","","Earhart","48-113-0061","AQS"
"06/25/2010","25","","Earhart","48-113-0061","AQS"
"07/01/2010","22","","Earhart","48-113-0061","AQS"
"07/07/2010","20","","Earhart","48-113-0061","AQS"
"07/13/2010","54","","Earhart","48-113-0061","AQS"
"07/19/2010","24","","Earhart","48-113-0061","AQS"
"07/25/2010","49","","Earhart","48-113-0061","AQS"
"07/31/2010","31","","Earhart","48-113-0061","AQS"
"08/06/2010","29","","Earhart","48-113-0061","AQS"
"08/12/2010","32","","Convention Center","48-113-0050","AQS"
"08/18/2010","31","","Earhart","48-113-0061","AQS"
"08/24/2010","44","","Earhart","48-113-0061","AQS"
"08/30/2010","25","","Earhart","48-113-0061","AQS"
"09/05/2010","31","","Earhart","48-113-0061","AQS"
"09/11/2010","35","","Earhart","48-113-0061","AQS"
"09/17/2010","31","","Convention Center","48-113-0050","AQS"
"09/23/2010","25","","Earhart","48-113-0061","AQS"
"09/29/2010","47","","Earhart","48-113-0061","AQS"
"10/05/2010","27","","Convention Center","48-113-0050","AQS"
"10/11/2010","26","","Earhart","48-113-0061","AQS"
"10/17/2010","34","","Earhart","48-113-0061","AQS"
"10/23/2010","18","","Dallas North #2","48-113-0075","AQS"
"10/29/2010","32","","Earhart","48-113-0061","AQS"
"11/04/2010","13","","Earhart","48-113-0061","AQS"
"11/10/2010","20","","Earhart","48-113-0061","AQS"
"11/16/2010","10","","Convention Center","48-113-0050","AQS"
"11/22/2010","19","","Convention Center","48-113-0050","AQS"
"11/28/2010","15","","Earhart","48-113-0061","AQS"
"12/04/2010","21","","Stage Coach","48-439-3010","AQS"
"12/10/2010","28","","Convention Center","48-113-0050","AQS"
"12/16/2010","26","","Earhart","48-113-0061","AQS"
"12/22/2010","32","","Earhart","48-113-0061","AQS"
"12/28/2010","16","","Convention Center","48-113-0050","AQS"
"01/03/2011","19","","Earhart","48-113-0061","AQS"
"01/09/2011","6","","Convention Center","48-113-0050","AQS"
"01/15/2011","22","","Stage Coach","48-439-3010","AQS"
"01/21/2011","19","","Earhart","48-113-0061","AQS"
"01/27/2011","36","","Earhart","48-113-0061","AQS"
"02/02/2011","16","","Dallas North #2","48-113-0075","AQS"
"02/08/2011","37","","Convention Center","48-113-0050","AQS"
"02/14/2011","39","","Earhart","48-113-0061","AQS"
"02/20/2011","39","","Earhart","48-113-0061","AQS"
"02/26/2011","30","","Earhart","48-113-0061","AQS"
"03/04/2011","45","","Earhart","48-113-0061","AQS"
"03/10/2011","29","","Earhart","48-113-0061","AQS"
