"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","6","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/02/2010","13","","E. Rivers School","13-121-0032","AQS"
"01/03/2010","6","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/04/2010","8","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/05/2010","10","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/06/2010","13","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/07/2010","13","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/08/2010","17","","Doraville","13-089-2001","AQS"
"01/09/2010","10","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/10/2010","12","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/11/2010","13","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/12/2010","13","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/13/2010","30","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/14/2010","47","","Doraville","13-089-2001","AQS"
"01/15/2010","43","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/16/2010","21","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/17/2010","5","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/18/2010","7","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/19/2010","13","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/20/2010","16","","Doraville","13-089-2001","AQS"
"01/26/2010","12","","Doraville","13-089-2001","AQS"
"01/27/2010","8","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/28/2010","17","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/29/2010","12","","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
