"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","6","","GLEN BURNIE","24-003-1003","AQS"
"01/08/2010","17","","GLEN BURNIE","24-003-1003","AQS"
"01/14/2010","43","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"01/20/2010","15","","GLEN BURNIE","24-003-1003","AQS"
"01/26/2010","7","","GLEN BURNIE","24-003-1003","AQS"
"02/01/2010","35","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"02/07/2010","9","","GLEN BURNIE","24-003-1003","AQS"
"02/13/2010","12","","GLEN BURNIE","24-003-1003","AQS"
"02/17/2010","13","","GLEN BURNIE","24-003-1003","AQS"
"02/19/2010","8","","GLEN BURNIE","24-003-1003","AQS"
"02/25/2010","11","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"03/03/2010","7","","GLEN BURNIE","24-003-1003","AQS"
"03/04/2010","9","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"03/09/2010","26","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"03/15/2010","5","","GLEN BURNIE","24-003-1003","AQS"
"03/21/2010","23","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"03/27/2010","8","","GLEN BURNIE","24-003-1003","AQS"
"04/02/2010","14","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"04/08/2010","55","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"04/14/2010","15","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"04/20/2010","18","","GLEN BURNIE","24-003-1003","AQS"
"04/26/2010","10","","GLEN BURNIE","24-003-1003","AQS"
"04/28/2010","12","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"05/02/2010","28","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"05/08/2010","35","","GLEN BURNIE","24-003-1003","AQS"
"05/14/2010","23","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"05/20/2010","23","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"05/26/2010","17","","GLEN BURNIE","24-003-1003","AQS"
"06/01/2010","13","","GLEN BURNIE","24-003-1003","AQS"
"06/02/2010","19","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
"06/07/2010","10","","GLEN BURNIE","24-003-1003","AQS"
"06/13/2010","15","","BCFD-TRUCK COMPANY 20","24-510-0008","AQS"
