"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","33","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/02/2010","43","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/03/2010","53","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/04/2010","51","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/05/2010","19","","VILLAGE HALL","17-031-1016","AQS"
"01/06/2010","26","","VILLAGE HALL","17-031-1016","AQS"
"01/07/2010","27","","VILLAGE HALL","17-031-1016","AQS"
"01/08/2010","31","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/09/2010","35","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/10/2010","23","","VILLAGE HALL","17-031-1016","AQS"
"01/11/2010","40","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/12/2010","17","","VILLAGE HALL","17-031-1016","AQS"
"01/13/2010","29","","VILLAGE HALL","17-031-1016","AQS"
"01/14/2010","28","","CARVER HS","17-031-0060","AQS"
"01/15/2010","26","","VILLAGE HALL","17-031-1016","AQS"
"01/16/2010","30","","VILLAGE HALL","17-031-1016","AQS"
"01/17/2010","35","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/18/2010","22","","WASHINGTON HS","17-031-0022","AQS"
"01/19/2010","23","","WASHINGTON HS","17-031-0022","AQS"
"01/20/2010","22","","EISENHOWER HS","17-031-2001","AQS"
"01/21/2010","13","","VILLAGE HALL","17-031-1016","AQS"
"01/22/2010","20","","VILLAGE HALL","17-031-1016","AQS"
"01/23/2010","21","","VILLAGE HALL","17-031-1016","AQS"
"01/24/2010","9","","WASHINGTON HS","17-031-0022","AQS"
"01/25/2010","14","","WASHINGTON HS","17-031-0022","AQS"
"01/26/2010","33","","SITE MOVED FROM EAST CHICAGO FIELD SCHOOL","18-089-0023","AQS"
"01/27/2010","36","","WASHINGTON HS","17-031-0022","AQS"
"01/28/2010","41","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"01/29/2010","31","","VILLAGE HALL","17-031-1016","AQS"
"01/30/2010","23","","VILLAGE HALL","17-031-1016","AQS"
"01/31/2010","37","","VILLAGE HALL","17-031-1016","AQS"
"02/01/2010","64","","SITE MOVED FROM EAST CHICAGO FIELD SCHOOL","18-089-0023","AQS"
"02/02/2010","38","","VILLAGE HALL","17-031-1016","AQS"
"02/03/2010","39","","VILLAGE HALL","17-031-1016","AQS"
"02/04/2010","44","","VILLAGE HALL","17-031-1016","AQS"
"02/05/2010","25","","VILLAGE HALL","17-031-1016","AQS"
"02/06/2010","13","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/07/2010","18","","EISENHOWER HS","17-031-2001","AQS"
"02/08/2010","23","","VILLAGE HALL","17-031-1016","AQS"
"02/09/2010","15","","WASHINGTON HS","17-031-0022","AQS"
"02/10/2010","41","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/11/2010","31","","VILLAGE HALL","17-031-1016","AQS"
"02/12/2010","43","","VILLAGE HALL","17-031-1016","AQS"
"02/13/2010","37","","EISENHOWER HS","17-031-2001","AQS"
"02/14/2010","27","","WASHINGTON HS","17-031-0022","AQS"
"02/15/2010","32","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/16/2010","55","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/17/2010","31","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/18/2010","20","","VILLAGE HALL","17-031-1016","AQS"
"02/19/2010","53","","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS"
"02/20/2010","22","","VILLAGE HALL","17-031-1016","AQS"
"02/21/2010","25","","VILLAGE HALL","17-031-1016","AQS"
"02/22/2010","10","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/23/2010","19","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/24/2010","31","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/25/2010","23","","SITE MOVED FROM EAST CHICAGO FIELD SCHOOL","18-089-0023","AQS"
"02/26/2010","54","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/27/2010","27","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"02/28/2010","15","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/01/2010","12","","VILLAGE HALL","17-031-1016","AQS"
"03/02/2010","22","","Portage- Hwy 12","18-127-0023","AQS"
"03/03/2010","41","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/04/2010","41","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/05/2010","34","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/06/2010","52","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/07/2010","26","","VILLAGE HALL","17-031-1016","AQS"
"03/08/2010","47","","VILLAGE HALL","17-031-1016","AQS"
"03/09/2010","56","","VILLAGE HALL","17-031-1016","AQS"
"03/10/2010","34","","VILLAGE HALL","17-031-1016","AQS"
"03/11/2010","22","","VILLAGE HALL","17-031-1016","AQS"
"03/12/2010","19","","VILLAGE HALL","17-031-1016","AQS"
"03/13/2010","9","","VILLAGE HALL","17-031-1016","AQS"
"03/14/2010","15","","Portage- Hwy 12","18-127-0023","AQS"
"03/15/2010","58","","SITE MOVED FROM EAST CHICAGO FIELD SCHOOL","18-089-0023","AQS"
"03/16/2010","56","","Portage- Hwy 12","18-127-0023","AQS"
"03/17/2010","51","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/18/2010","51","","WASHINGTON HS","17-031-0022","AQS"
"03/19/2010","40","","WASHINGTON HS","17-031-0022","AQS"
"03/20/2010","20","","Portage- Hwy 12","18-127-0023","AQS"
"03/21/2010","31","","Gary- Madison St./ Gary Water/ IN American Water Co.","18-089-0031","AQS"
"03/22/2010","35","","Portage- Hwy 12","18-127-0023","AQS"
"03/23/2010","38","","Portage- Hwy 12","18-127-0023","AQS"
"03/24/2010","46","","Portage- Hwy 12","18-127-0023","AQS"
"03/25/2010","54","","Portage- Hwy 12","18-127-0023","AQS"
"03/26/2010","34","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/27/2010","21","","GRAVES ES","17-031-3301","AQS"
"03/28/2010","27","","Portage- Hwy 12","18-127-0023","AQS"
"03/29/2010","15","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"03/30/2010","31","","VILLAGE HALL","17-031-1016","AQS"
"03/31/2010","43","","VILLAGE HALL","17-031-1016","AQS"
"04/01/2010","52","","VILLAGE HALL","17-031-1016","AQS"
"04/02/2010","52","","VILLAGE HALL","17-031-1016","AQS"
"04/03/2010","12","","VILLAGE HALL","17-031-1016","AQS"
"04/04/2010","16","","VILLAGE HALL","17-031-1016","AQS"
"04/05/2010","24","","WASHINGTON HS","17-031-0022","AQS"
"04/06/2010","33","","VILLAGE HALL","17-031-1016","AQS"
"04/07/2010","19","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"04/08/2010","31","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"04/09/2010","25","","Portage- Hwy 12","18-127-0023","AQS"
