"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"01/02/2010","18","","Taft NCore PAMS","39-061-0040","AQS"
"01/03/2010","14","","Taft NCore PAMS","39-061-0040","AQS"
"01/04/2010","17","","Taft NCore PAMS","39-061-0040","AQS"
"01/05/2010","22","","Taft NCore PAMS","39-061-0040","AQS"
"01/06/2010","25","","Taft NCore PAMS","39-061-0040","AQS"
"01/07/2010","26","","Taft NCore PAMS","39-061-0040","AQS"
"01/08/2010","23","","Taft NCore PAMS","39-061-0040","AQS"
"01/09/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"01/10/2010","29","","Taft NCore PAMS","39-061-0040","AQS"
"01/11/2010","32","","Taft NCore PAMS","39-061-0040","AQS"
"01/12/2010","33","","Taft NCore PAMS","39-061-0040","AQS"
"01/13/2010","41","","Taft NCore PAMS","39-061-0040","AQS"
"01/14/2010","39","","Taft NCore PAMS","39-061-0040","AQS"
"01/15/2010","39","","Taft NCore PAMS","39-061-0040","AQS"
"01/16/2010","52","","Taft NCore PAMS","39-061-0040","AQS"
"01/17/2010","34","","Taft NCore PAMS","39-061-0040","AQS"
"01/18/2010","32","","Taft NCore PAMS","39-061-0040","AQS"
"01/19/2010","40","","Taft NCore PAMS","39-061-0040","AQS"
"01/20/2010","26","","Taft NCore PAMS","39-061-0040","AQS"
"01/21/2010","21","","Taft NCore PAMS","39-061-0040","AQS"
"01/22/2010","25","","Taft NCore PAMS","39-061-0040","AQS"
"01/23/2010","27","","Taft NCore PAMS","39-061-0040","AQS"
"01/24/2010","11","","Taft NCore PAMS","39-061-0040","AQS"
"01/25/2010","14","","Taft NCore PAMS","39-061-0040","AQS"
"01/26/2010","18","","Taft NCore PAMS","39-061-0040","AQS"
"01/27/2010","20","","Taft NCore PAMS","39-061-0040","AQS"
"01/28/2010","20","","Taft NCore PAMS","39-061-0040","AQS"
"01/29/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"01/30/2010","18","","Taft NCore PAMS","39-061-0040","AQS"
"01/31/2010","28","","Taft NCore PAMS","39-061-0040","AQS"
"02/01/2010","42","","Taft NCore PAMS","39-061-0040","AQS"
"02/02/2010","39","","Taft NCore PAMS","39-061-0040","AQS"
"02/03/2010","37","","Taft NCore PAMS","39-061-0040","AQS"
"02/04/2010","46","","Taft NCore PAMS","39-061-0040","AQS"
"02/05/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"02/06/2010","13","","Taft NCore PAMS","39-061-0040","AQS"
"02/07/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"02/08/2010","24","","Taft NCore PAMS","39-061-0040","AQS"
"02/09/2010","22","","Taft NCore PAMS","39-061-0040","AQS"
"02/10/2010","12","","Taft NCore PAMS","39-061-0040","AQS"
"02/11/2010","17","","Taft NCore PAMS","39-061-0040","AQS"
"02/12/2010","30","","Taft NCore PAMS","39-061-0040","AQS"
"02/13/2010","31","","Taft NCore PAMS","39-061-0040","AQS"
"02/14/2010","29","","Taft NCore PAMS","39-061-0040","AQS"
"02/15/2010","26","","Taft NCore PAMS","39-061-0040","AQS"
"02/16/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"02/17/2010","23","","Taft NCore PAMS","39-061-0040","AQS"
"02/18/2010","30","","Taft NCore PAMS","39-061-0040","AQS"
"02/19/2010","46","","Taft NCore PAMS","39-061-0040","AQS"
"02/20/2010","47","","Taft NCore PAMS","39-061-0040","AQS"
"02/21/2010","31","","Taft NCore PAMS","39-061-0040","AQS"
"02/22/2010","33","","Taft NCore PAMS","39-061-0040","AQS"
"02/23/2010","25","","Taft NCore PAMS","39-061-0040","AQS"
"02/24/2010","32","","Taft NCore PAMS","39-061-0040","AQS"
"02/25/2010","23","","Taft NCore PAMS","39-061-0040","AQS"
"02/26/2010","19","","Taft NCore PAMS","39-061-0040","AQS"
"02/27/2010","21","","Taft NCore PAMS","39-061-0040","AQS"
"02/28/2010","17","","Taft NCore PAMS","39-061-0040","AQS"
"03/01/2010","22","","Taft NCore PAMS","39-061-0040","AQS"
"03/02/2010","31","","Taft NCore PAMS","39-061-0040","AQS"
"03/03/2010","26","","Taft NCore PAMS","39-061-0040","AQS"
"03/04/2010","21","","Taft NCore PAMS","39-061-0040","AQS"
"03/05/2010","33","","Taft NCore PAMS","39-061-0040","AQS"
"03/06/2010","33","","Taft NCore PAMS","39-061-0040","AQS"
"03/07/2010","33","","Taft NCore PAMS","39-061-0040","AQS"
"03/08/2010","34","","Taft NCore PAMS","39-061-0040","AQS"
"03/09/2010","41","","Taft NCore PAMS","39-061-0040","AQS"
