"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","11","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/02/2010","37","","Cleveland Fire St13","39-035-0045","AQS"
"01/03/2010","17","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/04/2010","12","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/05/2010","13","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/06/2010","16","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/07/2010","28","","St Theodosius","39-035-0038","AQS"
"01/08/2010","19","","Cleveland Fire St13","39-035-0045","AQS"
"01/09/2010","8","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/10/2010","17","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/11/2010","19","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/12/2010","23","","St Theodosius","39-035-0038","AQS"
"01/13/2010","25","","St Theodosius","39-035-0038","AQS"
"01/14/2010","46","","St Theodosius","39-035-0038","AQS"
"01/15/2010","31","","St Theodosius","39-035-0038","AQS"
"01/16/2010","26","","St Theodosius","39-035-0038","AQS"
"01/17/2010","26","","St Theodosius","39-035-0038","AQS"
"01/18/2010","19","","St Theodosius","39-035-0038","AQS"
"01/19/2010","17","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/20/2010","17","","Harvard Yards","39-035-0065","AQS"
"01/21/2010","31","","St Theodosius","39-035-0038","AQS"
"01/22/2010","21","","St Theodosius","39-035-0038","AQS"
"01/23/2010","26","","St Theodosius","39-035-0038","AQS"
"01/24/2010","25","","St Theodosius","39-035-0038","AQS"
"01/25/2010","8","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/26/2010","22","","Cleveland Fire St13","39-035-0045","AQS"
"01/27/2010","15","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/28/2010","54","","St Theodosius","39-035-0038","AQS"
"01/29/2010","23","","GT Craig NCore PAMS","39-035-0060","AQS"
"01/30/2010","38","","St Theodosius","39-035-0038","AQS"
"01/31/2010","22","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/01/2010","52","","Harvard Yards","39-035-0065","AQS"
"02/02/2010","49","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/03/2010","31","","St Theodosius","39-035-0038","AQS"
"02/04/2010","37","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/05/2010","31","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/06/2010","7","","St Theodosius","39-035-0038","AQS"
"02/07/2010","8","","Barr School","39-093-3002","AQS"
"02/08/2010","23","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/09/2010","35","","St Theodosius","39-035-0038","AQS"
"02/10/2010","10","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/11/2010","14","","GT Craig NCore PAMS","39-035-0060","AQS"
"02/12/2010","12","","St Theodosius","39-035-0038","AQS"
"02/13/2010","21","","St Theodosius","39-035-0038","AQS"
"02/14/2010","19","","St Theodosius","39-035-0038","AQS"
