"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","24","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/02/2010","33","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/03/2010","10","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/04/2010","24","","DENVER VISITOR CENTER","08-031-0017","AQS"
"01/05/2010","38","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/06/2010","18","","DENVER VISITOR CENTER","08-031-0017","AQS"
"01/07/2010","21","","DENVER - CAMP","08-031-0002","AQS"
"01/08/2010","36","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/09/2010","41","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/10/2010","22","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/11/2010","41","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/12/2010","57","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/13/2010","49","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/14/2010","46","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/15/2010","39","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/16/2010","41","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/17/2010","37","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/18/2010","49","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/19/2010","51","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/20/2010","43","","DENVER - CAMP","08-031-0002","AQS"
"01/21/2010","53","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/22/2010","44","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/23/2010","20","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/24/2010","16","","DENVER - CAMP","08-031-0002","AQS"
"01/25/2010","21","","DENVER MUNICIPAL ANIMAL SHELTER","08-031-0025","AQS"
"01/26/2010","52","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/27/2010","37","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/28/2010","19","","DENVER VISITOR CENTER","08-031-0017","AQS"
"01/29/2010","39","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/30/2010","21","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"01/31/2010","20","","DENVER VISITOR CENTER","08-031-0017","AQS"
"02/01/2010","33","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/02/2010","41","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/03/2010","57","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/04/2010","30","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
"02/05/2010","24","","Alsup Elementry School - Commerce City","08-001-0006","AQS"
