"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","44","","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"01/08/2010","15","","BOSTON CITY SQUARE","25-025-0027","AQS"
"01/14/2010","37","","BOSTON KENMORE SQ","25-025-0002","AQS"
"01/20/2010","12","","BOSTON KENMORE SQ","25-025-0002","AQS"
"01/26/2010","15","","BOSTON KENMORE SQ","25-025-0002","AQS"
"02/01/2010","28","","BOSTON CITY SQUARE","25-025-0027","AQS"
"02/07/2010","17","","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"02/13/2010","16","","BOSTON KENMORE SQ","25-025-0002","AQS"
"02/19/2010","15","","BOSTON KENMORE SQ","25-025-0002","AQS"
"02/25/2010","11","","BOSTON KENMORE SQ","25-025-0002","AQS"
"03/03/2010","10","","BOSTON KENMORE SQ","25-025-0002","AQS"
"03/09/2010","14","","BOSTON KENMORE SQ","25-025-0002","AQS"
"03/15/2010","14","","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"03/21/2010","16","","BOSTON KENMORE SQ","25-025-0002","AQS"
"03/27/2010","12","","BOSTON KENMORE SQ","25-025-0002","AQS"
"04/02/2010","16","","BOSTON KENMORE SQ","25-025-0002","AQS"
"04/08/2010","20","","BOSTON KENMORE SQ","25-025-0002","AQS"
"04/14/2010","19","","BOSTON KENMORE SQ","25-025-0002","AQS"
"04/20/2010","15","","BOSTON KENMORE SQ","25-025-0002","AQS"
"04/26/2010","14","","BOSTON KENMORE SQ","25-025-0002","AQS"
"05/02/2010","30","","BOSTON KENMORE SQ","25-025-0002","AQS"
"05/08/2010","13","","BOSTON KENMORE SQ","25-025-0002","AQS"
"05/14/2010","22","","BOSTON CITY SQUARE","25-025-0027","AQS"
"05/20/2010","19","","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"05/26/2010","29","","USEPA REGION 1 LAB","25-017-0009","AQS"
"06/01/2010","31","","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"06/07/2010","8","","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"06/13/2010","10","","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"06/19/2010","24","","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS"
"06/25/2010","15","","BOSTON CITY SQUARE","25-025-0027","AQS"
"07/01/2010","10","","BOSTON CITY SQUARE","25-025-0027","AQS"
"07/07/2010","46","","DUDLEY SQUARE ROXBURY","25-025-0042","AQS"
"07/13/2010","17","","BOSTON CITY SQUARE","25-025-0027","AQS"
