"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","67","","SOUTH PHOENIX","04-013-4003","AQS"
"01/02/2010","60","","COWTOWN","04-021-3013","AQS"
"01/03/2010","63","","COWTOWN","04-021-3013","AQS"
"01/04/2010","61","","COWTOWN","04-021-3013","AQS"
"01/05/2010","89","","COWTOWN","04-021-3013","AQS"
"01/06/2010","100","","COWTOWN","04-021-3013","AQS"
"01/07/2010","100","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/08/2010","94","","STANFIELD","04-021-3008","AQS"
"01/09/2010","69","","COWTOWN","04-021-3013","AQS"
"01/10/2010","80","","COWTOWN","04-021-3013","AQS"
"01/11/2010","74","","COWTOWN","04-021-3013","AQS"
"01/12/2010","97","","COWTOWN","04-021-3013","AQS"
"01/13/2010","136","","COWTOWN","04-021-3013","AQS"
"01/14/2010","49","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/15/2010","68","","COWTOWN","04-021-3013","AQS"
"01/16/2010","74","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/17/2010","72","","COWTOWN","04-021-3013","AQS"
"01/18/2010","34","","COWTOWN","04-021-3013","AQS"
"01/19/2010","88","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/20/2010","38","","GLENDALE","04-013-2001","AQS"
"01/21/2010","1657","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"01/22/2010","8","","WEST 43RD AVENUE","04-013-4009","AQS"
"01/23/2010","15","","MARICOPA","04-021-3010","AQS"
"01/24/2010","19","","GREENWOOD","04-013-3010","AQS"
"01/25/2010","31","","GREENWOOD","04-013-3010","AQS"
"01/26/2010","32","","GREENWOOD","04-013-3010","AQS"
"01/27/2010","31","","GREENWOOD","04-013-3010","AQS"
"01/28/2010","19","","GLENDALE","04-013-2001","AQS"
"01/29/2010","24","","MARICOPA","04-021-3010","AQS"
"01/30/2010","23","","GREENWOOD","04-013-3010","AQS"
"01/31/2010","23","","GREENWOOD","04-013-3010","AQS"
"02/01/2010","32","","GREENWOOD","04-013-3010","AQS"
"02/02/2010","38","","GREENWOOD","04-013-3010","AQS"
"02/03/2010","49","","COWTOWN","04-021-3013","AQS"
"02/04/2010","37","","MARICOPA","04-021-3010","AQS"
"02/05/2010","46","","MARICOPA","04-021-3010","AQS"
"02/06/2010","31","","MARICOPA","04-021-3010","AQS"
"02/07/2010","47","","STANFIELD","04-021-3008","AQS"
"02/08/2010","27","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"02/09/2010","28","","MARICOPA","04-021-3010","AQS"
"02/10/2010","28","","WEST 43RD AVENUE","04-013-4009","AQS"
"02/11/2010","23","","WEST 43RD AVENUE","04-013-4009","AQS"
"02/12/2010","25","","GREENWOOD","04-013-3010","AQS"
"02/13/2010","28","","COWTOWN","04-021-3013","AQS"
"02/14/2010","24","","GREENWOOD","04-013-3010","AQS"
"02/15/2010","40","","GREENWOOD","04-013-3010","AQS"
"02/16/2010","70","","COWTOWN","04-021-3013","AQS"
"02/17/2010","55","","COWTOWN","04-021-3013","AQS"
"02/18/2010","48","","COWTOWN","04-021-3013","AQS"
"02/19/2010","52","","MARICOPA","04-021-3010","AQS"
"02/20/2010","25","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"02/21/2010","10","","MARICOPA","04-021-3010","AQS"
"02/22/2010","29","","MARICOPA","04-021-3010","AQS"
"02/23/2010","24","","WEST 43RD AVENUE","04-013-4009","AQS"
"02/24/2010","40","","COWTOWN","04-021-3013","AQS"
"02/25/2010","41","","COWTOWN","04-021-3013","AQS"
"02/26/2010","39","","COWTOWN","04-021-3013","AQS"
"02/27/2010","53","","MARICOPA","04-021-3010","AQS"
"02/28/2010","15","","COWTOWN","04-021-3013","AQS"
"03/01/2010","21","","GREENWOOD","04-013-3010","AQS"
"03/02/2010","25","","GREENWOOD","04-013-3010","AQS"
"03/03/2010","30","","WEST 43RD AVENUE","04-013-4009","AQS"
"03/04/2010","42","","COWTOWN","04-021-3013","AQS"
"03/05/2010","43","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"03/06/2010","49","","STANFIELD","04-021-3008","AQS"
"03/07/2010","11","","COWTOWN","04-021-3013","AQS"
"03/08/2010","8","","GLENDALE","04-013-2001","AQS"
"03/09/2010","59","","COWTOWN","04-021-3013","AQS"
"03/10/2010","25","","WEST 43RD AVENUE","04-013-4009","AQS"
"03/11/2010","52","","COWTOWN","04-021-3013","AQS"
"03/12/2010","44","","COWTOWN","04-021-3013","AQS"
"03/13/2010","33","","COWTOWN","04-021-3013","AQS"
"03/14/2010","42","","COWTOWN","04-021-3013","AQS"
"03/15/2010","59","","COWTOWN","04-021-3013","AQS"
"03/16/2010","40","","COWTOWN","04-021-3013","AQS"
"03/17/2010","63","","COWTOWN","04-021-3013","AQS"
"03/18/2010","59","","COWTOWN","04-021-3013","AQS"
"03/19/2010","42","","WEST 43RD AVENUE","04-013-4009","AQS"
"03/20/2010","58","","COWTOWN","04-021-3013","AQS"
"03/21/2010","74","","COWTOWN","04-021-3013","AQS"
"03/22/2010","68","","COWTOWN","04-021-3013","AQS"
"03/23/2010","44","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"03/24/2010","33","","COWTOWN","04-021-3013","AQS"
"03/25/2010","38","","COWTOWN","04-021-3013","AQS"
"03/26/2010","69","","COWTOWN","04-021-3013","AQS"
"03/27/2010","56","","STANFIELD","04-021-3008","AQS"
"03/28/2010","43","","STANFIELD","04-021-3008","AQS"
"03/29/2010","56","","COWTOWN","04-021-3013","AQS"
"03/30/2010","64","","COWTOWN","04-021-3013","AQS"
"03/31/2010","89","","STANFIELD","04-021-3008","AQS"
"04/01/2010","58","","COWTOWN","04-021-3013","AQS"
"04/02/2010","122","","COWTOWN","04-021-3013","AQS"
"04/03/2010","71","","COWTOWN","04-021-3013","AQS"
"04/04/2010","54","","COWTOWN","04-021-3013","AQS"
"04/05/2010","74","","COWTOWN","04-021-3013","AQS"
"04/06/2010","74","","COWTOWN","04-021-3013","AQS"
"04/07/2010","54","","STANFIELD","04-021-3008","AQS"
"04/08/2010","75","","COWTOWN","04-021-3013","AQS"
"04/09/2010","87","","COWTOWN","04-021-3013","AQS"
"04/10/2010","97","","COWTOWN","04-021-3013","AQS"
"04/11/2010","70","","COWTOWN","04-021-3013","AQS"
"04/12/2010","91","","COWTOWN","04-021-3013","AQS"
"04/13/2010","51","","COWTOWN","04-021-3013","AQS"
"04/14/2010","65","","COWTOWN","04-021-3013","AQS"
"04/15/2010","67","","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS"
"04/16/2010","89","","COWTOWN","04-021-3013","AQS"
