"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","19","","Houston Aldine","48-201-0024","AQS"
"01/05/2010","21","","Clinton","48-201-1035","AQS"
"01/08/2010","12","","Houston Westhollow","48-201-0066","AQS"
"01/14/2010","20","","Clinton","48-201-1035","AQS"
"01/17/2010","21","","Clinton","48-201-1035","AQS"
"01/20/2010","21","","Pasadena HL&P","48-201-0071","AQS"
"01/23/2010","34","","Clinton","48-201-1035","AQS"
"01/26/2010","32","","Clinton","48-201-1035","AQS"
"01/29/2010","11","","Clinton","48-201-1035","AQS"
"02/01/2010","30","","Houston Westhollow","48-201-0066","AQS"
"02/04/2010","12","","Clinton","48-201-1035","AQS"
"02/07/2010","19","","Clinton","48-201-1035","AQS"
"02/10/2010","24","","Clinton","48-201-1035","AQS"
"02/13/2010","23","","Clinton","48-201-1035","AQS"
"02/16/2010","31","","Clinton","48-201-1035","AQS"
"02/19/2010","27","","Clinton","48-201-1035","AQS"
"02/22/2010","11","","Clinton","48-201-1035","AQS"
"02/25/2010","33","","Clinton","48-201-1035","AQS"
"02/28/2010","21","","Clinton","48-201-1035","AQS"
"03/03/2010","31","","Clinton","48-201-1035","AQS"
"03/06/2010","28","","Clinton","48-201-1035","AQS"
"03/09/2010","44","","Clinton","48-201-1035","AQS"
"03/12/2010","44","","Clinton","48-201-1035","AQS"
"03/15/2010","30","","Houston Westhollow","48-201-0066","AQS"
"03/18/2010","32","","Clinton","48-201-1035","AQS"
"03/21/2010","11","","Clinton","48-201-1035","AQS"
"03/24/2010","27","","Clinton","48-201-1035","AQS"
"03/27/2010","32","","Clinton","48-201-1035","AQS"
"03/30/2010","43","","Clinton","48-201-1035","AQS"
"04/02/2010","42","","Clinton","48-201-1035","AQS"
"04/05/2010","38","","Clinton","48-201-1035","AQS"
"04/08/2010","28","","Pasadena HL&P","48-201-0071","AQS"
"04/11/2010","19","","Clinton","48-201-1035","AQS"
"04/14/2010","40","","Clinton","48-201-1035","AQS"
"04/17/2010","29","","Clinton","48-201-1035","AQS"
"04/20/2010","29","","Houston Monroe","48-201-0062","AQS"
"04/23/2010","36","","Clinton","48-201-1035","AQS"
"04/26/2010","41","","Clinton","48-201-1035","AQS"
"04/29/2010","50","","Clinton","48-201-1035","AQS"
"05/02/2010","27","","Texas City Fire Station","48-167-0004","AQS"
"05/05/2010","38","","Clinton","48-201-1035","AQS"
"05/08/2010","32","","Houston Aldine","48-201-0024","AQS"
"05/11/2010","54","","Clinton","48-201-1035","AQS"
"05/14/2010","48","","Clinton","48-201-1035","AQS"
"05/17/2010","40","","Clinton","48-201-1035","AQS"
"05/20/2010","42","","Clinton","48-201-1035","AQS"
"05/23/2010","27","","Clinton","48-201-1035","AQS"
"05/26/2010","36","","Clinton","48-201-1035","AQS"
"05/29/2010","35","","Clinton","48-201-1035","AQS"
"06/01/2010","34","","Clinton","48-201-1035","AQS"
"06/04/2010","24","","Clinton","48-201-1035","AQS"
"06/07/2010","25","","Clinton","48-201-1035","AQS"
