"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","36","","420 KANSAS","20-209-0015","AQS"
"01/08/2010","36","","JFK","20-209-0021","AQS"
"01/14/2010","43","","JFK","20-209-0021","AQS"
"01/20/2010","56","","420 KANSAS","20-209-0015","AQS"
"01/26/2010","53","","JFK","20-209-0021","AQS"
"02/01/2010","30","","Troost","29-095-0034","AQS"
"02/07/2010","19","","Troost","29-095-0034","AQS"
"02/13/2010","29","","Troost","29-095-0034","AQS"
"02/19/2010","16","","Troost","29-095-0034","AQS"
"02/25/2010","33","","420 KANSAS","20-209-0015","AQS"
"03/03/2010","52","","Troost","29-095-0034","AQS"
"03/09/2010","18","","Troost","29-095-0034","AQS"
"03/15/2010","22","","Troost","29-095-0034","AQS"
"03/21/2010","12","","Troost","29-095-0034","AQS"
"03/27/2010","11","","420 KANSAS","20-209-0015","AQS"
"04/02/2010","28","","JFK","20-209-0021","AQS"
"04/08/2010","28","","420 KANSAS","20-209-0015","AQS"
"04/14/2010","51","","420 KANSAS","20-209-0015","AQS"
"04/20/2010","53","","420 KANSAS","20-209-0015","AQS"
"04/26/2010","15","","Troost","29-095-0034","AQS"
"05/02/2010","31","","JFK","20-209-0021","AQS"
"05/08/2010","16","","420 KANSAS","20-209-0015","AQS"
"05/14/2010","28","","420 KANSAS","20-209-0015","AQS"
"05/20/2010","16","","420 KANSAS","20-209-0015","AQS"
"05/26/2010","31","","420 KANSAS","20-209-0015","AQS"
"06/01/2010","33","","420 KANSAS","20-209-0015","AQS"
"06/07/2010","30","","JFK","20-209-0021","AQS"
"06/13/2010","12","","420 KANSAS","20-209-0015","AQS"
"06/19/2010","19","","420 KANSAS","20-209-0015","AQS"
"06/25/2010","34","","JFK","20-209-0021","AQS"
"07/01/2010","27","","JFK","20-209-0021","AQS"
"07/07/2010","19","","420 KANSAS","20-209-0015","AQS"
"07/13/2010","23","","420 KANSAS","20-209-0015","AQS"
"07/19/2010","37","","420 KANSAS","20-209-0015","AQS"
"07/25/2010","13","","420 KANSAS","20-209-0015","AQS"
"07/31/2010","17","","420 KANSAS","20-209-0015","AQS"
"08/06/2010","36","","420 KANSAS","20-209-0015","AQS"
"08/12/2010","45","","JFK","20-209-0021","AQS"
"08/18/2010","34","","JFK","20-209-0021","AQS"
"08/24/2010","32","","420 KANSAS","20-209-0015","AQS"
"08/30/2010","22","","420 KANSAS","20-209-0015","AQS"
"09/05/2010","33","","JFK","20-209-0021","AQS"
"09/11/2010","26","","JFK","20-209-0021","AQS"
"09/17/2010","32","","JFK","20-209-0021","AQS"
"09/23/2010","60","","JFK","20-209-0021","AQS"
"09/24/2010","48","","JFK","20-209-0021","AQS"
"09/29/2010","49","","420 KANSAS","20-209-0015","AQS"
"10/05/2010","31","","JFK","20-209-0021","AQS"
"10/11/2010","22","","JFK","20-209-0021","AQS"
"10/17/2010","49","","420 KANSAS","20-209-0015","AQS"
