"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","17","","RIVER TERRACE","11-001-0041","AQS"
"01/05/2010","7","","Tucker Elementary School","51-510-0020","AQS"
"01/08/2010","29","","RIVER TERRACE","11-001-0041","AQS"
"01/11/2010","12","","Tucker Elementary School","51-510-0020","AQS"
"01/14/2010","44","","RIVER TERRACE","11-001-0041","AQS"
"01/17/2010","23","","Tucker Elementary School","51-510-0020","AQS"
"01/20/2010","19","","RIVER TERRACE","11-001-0041","AQS"
"01/23/2010","11","","Tucker Elementary School","51-510-0020","AQS"
"01/26/2010","8","","RIVER TERRACE","11-001-0041","AQS"
"01/29/2010","6","","Tucker Elementary School","51-510-0020","AQS"
"02/01/2010","31","","RIVER TERRACE","11-001-0041","AQS"
"02/04/2010","19","","Tucker Elementary School","51-510-0020","AQS"
"02/07/2010","19","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"02/13/2010","13","","RIVER TERRACE","11-001-0041","AQS"
"02/19/2010","12","","RIVER TERRACE","11-001-0041","AQS"
"02/22/2010","18","","Tucker Elementary School","51-510-0020","AQS"
"02/25/2010","16","","RIVER TERRACE","11-001-0041","AQS"
"02/28/2010","4","","Tucker Elementary School","51-510-0020","AQS"
"03/03/2010","10","","RIVER TERRACE","11-001-0041","AQS"
"03/06/2010","6","","Tucker Elementary School","51-510-0020","AQS"
"03/09/2010","28","","RIVER TERRACE","11-001-0041","AQS"
"03/12/2010","5","","Tucker Elementary School","51-510-0020","AQS"
"03/15/2010","7","","RIVER TERRACE","11-001-0041","AQS"
"03/18/2010","20","","Tucker Elementary School","51-510-0020","AQS"
"03/21/2010","30","","RIVER TERRACE","11-001-0041","AQS"
"03/24/2010","15","","Tucker Elementary School","51-510-0020","AQS"
"03/27/2010","13","","RIVER TERRACE","11-001-0041","AQS"
"03/30/2010","6","","Tucker Elementary School","51-510-0020","AQS"
"04/02/2010","23","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"04/05/2010","23","","Tucker Elementary School","51-510-0020","AQS"
"04/08/2010","66","","RIVER TERRACE","11-001-0041","AQS"
"04/11/2010","17","","Tucker Elementary School","51-510-0020","AQS"
"04/14/2010","14","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"04/17/2010","15","","Tucker Elementary School","51-510-0020","AQS"
"04/20/2010","55","","RIVER TERRACE","11-001-0041","AQS"
"04/23/2010","21","","Tucker Elementary School","51-510-0020","AQS"
"04/26/2010","14","","RIVER TERRACE","11-001-0041","AQS"
"04/29/2010","13","","Tucker Elementary School","51-510-0020","AQS"
"05/02/2010","38","","RIVER TERRACE","11-001-0041","AQS"
"05/05/2010","19","","Tucker Elementary School","51-510-0020","AQS"
"05/08/2010","47","","RIVER TERRACE","11-001-0041","AQS"
"05/11/2010","10","","Tucker Elementary School","51-510-0020","AQS"
"05/14/2010","26","","RIVER TERRACE","11-001-0041","AQS"
"05/17/2010","9","","Tucker Elementary School","51-510-0020","AQS"
"05/20/2010","23","","RIVER TERRACE","11-001-0041","AQS"
"05/23/2010","8","","Tucker Elementary School","51-510-0020","AQS"
"05/26/2010","25","","RIVER TERRACE","11-001-0041","AQS"
"05/29/2010","17","","Tucker Elementary School","51-510-0020","AQS"
"06/01/2010","24","","RIVER TERRACE","11-001-0041","AQS"
"06/04/2010","24","","Tucker Elementary School","51-510-0020","AQS"
"06/07/2010","13","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"06/08/2010","16","","RIVER TERRACE","11-001-0041","AQS"
"06/10/2010","19","","Tucker Elementary School","51-510-0020","AQS"
"06/13/2010","19","","RIVER TERRACE","11-001-0041","AQS"
"06/19/2010","23","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"06/22/2010","31","","Tucker Elementary School","51-510-0020","AQS"
"06/25/2010","25","","RIVER TERRACE","11-001-0041","AQS"
"06/28/2010","16","","Tucker Elementary School","51-510-0020","AQS"
"07/01/2010","13","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"07/07/2010","69","","RIVER TERRACE","11-001-0041","AQS"
"07/10/2010","13","","Tucker Elementary School","51-510-0020","AQS"
"07/13/2010","18","","RIVER TERRACE","11-001-0041","AQS"
"07/16/2010","26","","Tucker Elementary School","51-510-0020","AQS"
"07/19/2010","21","","RIVER TERRACE","11-001-0041","AQS"
"07/22/2010","22","","Tucker Elementary School","51-510-0020","AQS"
"07/25/2010","38","","RIVER TERRACE","11-001-0041","AQS"
"07/28/2010","25","","Tucker Elementary School","51-510-0020","AQS"
"07/31/2010","23","","Alexandria Health Dept.","51-510-0009","AQS"
"08/03/2010","16","","Tucker Elementary School","51-510-0020","AQS"
"08/06/2010","51","","RIVER TERRACE","11-001-0041","AQS"
"08/09/2010","31","","Tucker Elementary School","51-510-0020","AQS"
"08/12/2010","31","","Hugh Mercer Elementary School","51-630-0004","AQS"
"08/15/2010","13","","Tucker Elementary School","51-510-0020","AQS"
"08/18/2010","21","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"08/21/2010","29","","Tucker Elementary School","51-510-0020","AQS"
"08/24/2010","14","","Hugh Mercer Elementary School","51-630-0004","AQS"
"08/27/2010","19","","Tucker Elementary School","51-510-0020","AQS"
"08/30/2010","34","","Hugh Mercer Elementary School","51-630-0004","AQS"
"09/02/2010","32","","Tucker Elementary School","51-510-0020","AQS"
"09/05/2010","15","","Hugh Mercer Elementary School","51-630-0004","AQS"
"09/08/2010","23","","Tucker Elementary School","51-510-0020","AQS"
"09/11/2010","14","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"09/14/2010","20","","Tucker Elementary School","51-510-0020","AQS"
"09/17/2010","16","","Hugh Mercer Elementary School","51-630-0004","AQS"
"09/20/2010","13","","Tucker Elementary School","51-510-0020","AQS"
"09/23/2010","31","","RIVER TERRACE","11-001-0041","AQS"
"09/26/2010","13","","Tucker Elementary School","51-510-0020","AQS"
"09/29/2010","14","","Alexandria Health Dept.","51-510-0009","AQS"
"10/02/2010","12","","Tucker Elementary School","51-510-0020","AQS"
"10/04/2010","5","","RIVER TERRACE","11-001-0041","AQS"
"10/05/2010","10","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"10/08/2010","16","","Tucker Elementary School","51-510-0020","AQS"
"10/09/2010","16","","HU-Beltsville","24-033-0030","AQS"
"10/11/2010","29","","Tucker Elementary School","51-510-0020","AQS"
"10/14/2010","12","","Tucker Elementary School","51-510-0020","AQS"
"10/17/2010","18","","Alexandria Health Dept.","51-510-0009","AQS"
"10/20/2010","20","","Tucker Elementary School","51-510-0020","AQS"
"10/23/2010","18","","Tucker Elementary School","51-510-0020","AQS"
"10/26/2010","12","","Tucker Elementary School","51-510-0020","AQS"
"10/29/2010","12","","RIVER TERRACE","11-001-0041","AQS"
"11/01/2010","10","","Tucker Elementary School","51-510-0020","AQS"
"11/04/2010","9","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"11/07/2010","11","","Tucker Elementary School","51-510-0020","AQS"
"11/10/2010","16","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"11/13/2010","20","","Tucker Elementary School","51-510-0020","AQS"
"11/16/2010","19","","Hugh Mercer Elementary School","51-630-0004","AQS"
"11/19/2010","15","","Tucker Elementary School","51-510-0020","AQS"
"11/22/2010","20","","Tucker Elementary School","51-510-0020","AQS"
"11/25/2010","6","","HU-Beltsville","24-033-0030","AQS"
"11/28/2010","11","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"12/01/2010","6","","HU-Beltsville","24-033-0030","AQS"
"12/04/2010","12","","Alexandria Health Dept.","51-510-0009","AQS"
"12/07/2010","7","","HU-Beltsville","24-033-0030","AQS"
"12/10/2010","21","","RIVER TERRACE","11-001-0041","AQS"
"12/13/2010","6","","HU-Beltsville","24-033-0030","AQS"
"12/16/2010","17","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"12/19/2010","23","","Tucker Elementary School","51-510-0020","AQS"
"12/22/2010","20","","Warren Memorial Hospital, Front Royal","51-187-0004","AQS"
"12/25/2010","13","","Tucker Elementary School","51-510-0020","AQS"
"12/28/2010","14","","Hugh Mercer Elementary School","51-630-0004","AQS"
"12/31/2010","26","","Tucker Elementary School","51-510-0020","AQS"
"01/03/2011","11","","Tucker Elementary School","51-510-0020","AQS"
"01/04/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"01/06/2011","22","","Tucker Elementary School","51-510-0020","AQS"
"01/09/2011","11","","Alexandria Health Dept.","51-510-0009","AQS"
"01/12/2011","10","","Tucker Elementary School","51-510-0020","AQS"
"01/15/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"01/18/2011","15","","Tucker Elementary School","51-510-0020","AQS"
"01/21/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"01/24/2011","18","","Tucker Elementary School","51-510-0020","AQS"
"01/27/2011","18","","Alexandria Health Dept.","51-510-0009","AQS"
"01/30/2011","25","","Tucker Elementary School","51-510-0020","AQS"
"02/02/2011","6","","RIVER TERRACE","11-001-0041","AQS"
"02/03/2011","7","","HU-Beltsville","24-033-0030","AQS"
"02/05/2011","7","","Tucker Elementary School","51-510-0020","AQS"
"02/06/2011","11","","HU-Beltsville","24-033-0030","AQS"
"02/08/2011","8","","HU-Beltsville","24-033-0030","AQS"
"02/10/2011","11","","HU-Beltsville","24-033-0030","AQS"
"02/11/2011","22","","Tucker Elementary School","51-510-0020","AQS"
"02/14/2011","16","","RIVER TERRACE","11-001-0041","AQS"
"02/17/2011","19","","HU-Beltsville","24-033-0030","AQS"
"02/20/2011","8","","RIVER TERRACE","11-001-0041","AQS"
"02/23/2011","14","","HU-Beltsville","24-033-0030","AQS"
"02/26/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"03/01/2011","7","","HU-Beltsville","24-033-0030","AQS"
"03/04/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"03/07/2011","6","","Tucker Elementary School","51-510-0020","AQS"
"03/10/2011","6","","RIVER TERRACE","11-001-0041","AQS"
"03/13/2011","8","","HU-Beltsville","24-033-0030","AQS"
"03/16/2011","10","","RIVER TERRACE","11-001-0041","AQS"
"03/19/2011","7","","HU-Beltsville","24-033-0030","AQS"
"03/22/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"03/25/2011","6","","HU-Beltsville","24-033-0030","AQS"
"03/28/2011","15","","RIVER TERRACE","11-001-0041","AQS"
"03/31/2011","8","","HU-Beltsville","24-033-0030","AQS"
"04/03/2011","13","","RIVER TERRACE","11-001-0041","AQS"
"04/06/2011","10","","Tucker Elementary School","51-510-0020","AQS"
"04/09/2011","13","","Farmington Elementary School, Culpeper","51-047-0002","AQS"
"04/12/2011","7","","Tucker Elementary School","51-510-0020","AQS"
"04/15/2011","25","","RIVER TERRACE","11-001-0041","AQS"
"04/18/2011","24","","Tucker Elementary School","51-510-0020","AQS"
"04/21/2011","13","","Hugh Mercer Elementary School","51-630-0004","AQS"
"04/24/2011","15","","HU-Beltsville","24-033-0030","AQS"
"04/27/2011","18","","RIVER TERRACE","11-001-0041","AQS"
"04/30/2011","8","","Tucker Elementary School","51-510-0020","AQS"
"05/03/2011","24","","RIVER TERRACE","11-001-0041","AQS"
"05/06/2011","17","","Tucker Elementary School","51-510-0020","AQS"
"05/09/2011","22","","RIVER TERRACE","11-001-0041","AQS"
"05/11/2011","11","","HU-Beltsville","24-033-0030","AQS"
"05/12/2011","17","","Tucker Elementary School","51-510-0020","AQS"
"05/15/2011","17","","Hugh Mercer Elementary School","51-630-0004","AQS"
"05/18/2011","14","","Tucker Elementary School","51-510-0020","AQS"
"05/21/2011","19","","RIVER TERRACE","11-001-0041","AQS"
"05/24/2011","26","","Tucker Elementary School","51-510-0020","AQS"
