"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","25","","Ramsey Health Center","27-123-0868","AQS"
"01/02/2010","28","","Ramsey Health Center","27-123-0868","AQS"
"01/03/2010","28","","Ramsey Health Center","27-123-0868","AQS"
"01/04/2010","35","","Ramsey Health Center","27-123-0868","AQS"
"01/05/2010","47","","Ramsey Health Center","27-123-0868","AQS"
"01/06/2010","57","","Ramsey Health Center","27-123-0868","AQS"
"01/07/2010","5","","Ramsey Health Center","27-123-0868","AQS"
"01/08/2010","18","","Red Rock Road","27-123-0866","AQS"
"01/09/2010","28","","Ramsey Health Center","27-123-0868","AQS"
"01/10/2010","28","","Ramsey Health Center","27-123-0868","AQS"
"01/11/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"01/12/2010","24","","Ramsey Health Center","27-123-0868","AQS"
"01/13/2010","31","","Ramsey Health Center","27-123-0868","AQS"
"01/14/2010","24","","Ramsey Health Center","27-123-0868","AQS"
"01/15/2010","11","","Ramsey Health Center","27-123-0868","AQS"
"01/16/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"01/17/2010","37","","Ramsey Health Center","27-123-0868","AQS"
"01/18/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"01/19/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"01/20/2010","19","","Red Rock Road","27-123-0866","AQS"
"01/21/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"01/26/2010","14","","Red Rock Road","27-123-0866","AQS"
"01/27/2010","27","","Ramsey Health Center","27-123-0868","AQS"
"01/28/2010","28","","Ramsey Health Center","27-123-0868","AQS"
"01/29/2010","41","","Ramsey Health Center","27-123-0868","AQS"
"01/30/2010","51","","Ramsey Health Center","27-123-0868","AQS"
"01/31/2010","44","","Ramsey Health Center","27-123-0868","AQS"
"02/01/2010","25","","Ramsey Health Center","27-123-0868","AQS"
"02/02/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"02/03/2010","33","","Ramsey Health Center","27-123-0868","AQS"
"02/04/2010","46","","Ramsey Health Center","27-123-0868","AQS"
"02/05/2010","45","","Ramsey Health Center","27-123-0868","AQS"
"02/06/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"02/07/2010","16","","Ramsey Health Center","27-123-0868","AQS"
"02/08/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"02/09/2010","7","","Ramsey Health Center","27-123-0868","AQS"
"02/10/2010","37","","Ramsey Health Center","27-123-0868","AQS"
"02/11/2010","49","","Ramsey Health Center","27-123-0868","AQS"
"02/12/2010","53","","Ramsey Health Center","27-123-0868","AQS"
"02/13/2010","51","","Ramsey Health Center","27-123-0868","AQS"
"02/14/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"02/15/2010","9","","Ramsey Health Center","27-123-0868","AQS"
"02/16/2010","17","","Ramsey Health Center","27-123-0868","AQS"
"02/17/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"02/18/2010","40","","Ramsey Health Center","27-123-0868","AQS"
"02/19/2010","58","","City of Lakes Building","27-053-0966","AQS"
"02/20/2010","39","","Ramsey Health Center","27-123-0868","AQS"
"02/21/2010","33","","Ramsey Health Center","27-123-0868","AQS"
"02/22/2010","25","","Ramsey Health Center","27-123-0868","AQS"
"02/23/2010","29","","Ramsey Health Center","27-123-0868","AQS"
"02/24/2010","20","","Ramsey Health Center","27-123-0868","AQS"
"02/25/2010","32","","City of Lakes Building","27-053-0966","AQS"
"02/26/2010","36","","Ramsey Health Center","27-123-0868","AQS"
"02/27/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"02/28/2010","10","","Ramsey Health Center","27-123-0868","AQS"
"03/01/2010","31","","Ramsey Health Center","27-123-0868","AQS"
"03/02/2010","43","","Ramsey Health Center","27-123-0868","AQS"
"03/03/2010","41","","Ramsey Health Center","27-123-0868","AQS"
"03/04/2010","47","","Ramsey Health Center","27-123-0868","AQS"
"03/05/2010","36","","Ramsey Health Center","27-123-0868","AQS"
"03/06/2010","37","","Ramsey Health Center","27-123-0868","AQS"
"03/07/2010","42","","Ramsey Health Center","27-123-0868","AQS"
"03/08/2010","33","","Ramsey Health Center","27-123-0868","AQS"
"03/09/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"03/10/2010","30","","Ramsey Health Center","27-123-0868","AQS"
"03/11/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"03/12/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"03/13/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"03/14/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"03/15/2010","28","","Ramsey Health Center","27-123-0868","AQS"
"03/16/2010","18","","Ramsey Health Center","27-123-0868","AQS"
"03/17/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"03/20/2010","11","","Ramsey Health Center","27-123-0868","AQS"
"03/21/2010","19","","Humboldt Avenue","27-053-1007","AQS"
"03/22/2010","27","","Ramsey Health Center","27-123-0868","AQS"
"03/23/2010","24","","Ramsey Health Center","27-123-0868","AQS"
"03/24/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"03/25/2010","16","","Ramsey Health Center","27-123-0868","AQS"
"03/26/2010","20","","Ramsey Health Center","27-123-0868","AQS"
"03/27/2010","17","","City of Lakes Building","27-053-0966","AQS"
"03/28/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"03/29/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"03/30/2010","32","","Ramsey Health Center","27-123-0868","AQS"
"03/31/2010","32","","Ramsey Health Center","27-123-0868","AQS"
"04/01/2010","40","","Ramsey Health Center","27-123-0868","AQS"
"04/02/2010","52","","Red Rock Road","27-123-0866","AQS"
"04/03/2010","9","","Ramsey Health Center","27-123-0868","AQS"
"04/04/2010","11","","Ramsey Health Center","27-123-0868","AQS"
"04/05/2010","16","","Ramsey Health Center","27-123-0868","AQS"
"04/06/2010","16","","Ramsey Health Center","27-123-0868","AQS"
"04/07/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"04/08/2010","17","","City of Lakes Building","27-053-0966","AQS"
"04/09/2010","34","","Ramsey Health Center","27-123-0868","AQS"
"04/10/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"04/11/2010","31","","Ramsey Health Center","27-123-0868","AQS"
"04/12/2010","32","","Ramsey Health Center","27-123-0868","AQS"
"04/13/2010","20","","Ramsey Health Center","27-123-0868","AQS"
"04/14/2010","36","","Red Rock Road","27-123-0866","AQS"
"04/15/2010","20","","Ramsey Health Center","27-123-0868","AQS"
"04/16/2010","9","","Ramsey Health Center","27-123-0868","AQS"
"04/17/2010","8","","Ramsey Health Center","27-123-0868","AQS"
"04/18/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"04/19/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"04/20/2010","55","","Red Rock Road","27-123-0866","AQS"
"04/21/2010","16","","Ramsey Health Center","27-123-0868","AQS"
"04/22/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"04/23/2010","41","","Ramsey Health Center","27-123-0868","AQS"
"04/24/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"04/25/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"04/26/2010","37","","Red Rock Road","27-123-0866","AQS"
"04/27/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"04/28/2010","40","","Ramsey Health Center","27-123-0868","AQS"
"04/29/2010","35","","Ramsey Health Center","27-123-0868","AQS"
"04/30/2010","17","","Ramsey Health Center","27-123-0868","AQS"
"05/01/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"05/02/2010","10","","City of Lakes Building","27-053-0966","AQS"
"05/03/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"05/04/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"05/05/2010","17","","Ramsey Health Center","27-123-0868","AQS"
"05/06/2010","7","","Ramsey Health Center","27-123-0868","AQS"
"05/07/2010","7","","Ramsey Health Center","27-123-0868","AQS"
"05/08/2010","14","","Humboldt Avenue","27-053-1007","AQS"
"05/09/2010","15","","Ramsey Health Center","27-123-0868","AQS"
"05/10/2010","17","","Ramsey Health Center","27-123-0868","AQS"
"05/11/2010","9","","Ramsey Health Center","27-123-0868","AQS"
"05/12/2010","11","","Ramsey Health Center","27-123-0868","AQS"
"05/13/2010","6","","Ramsey Health Center","27-123-0868","AQS"
"05/14/2010","31","","Red Rock Road","27-123-0866","AQS"
"05/15/2010","29","","Ramsey Health Center","27-123-0868","AQS"
"05/16/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"05/17/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"05/18/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"05/19/2010","33","","Ramsey Health Center","27-123-0868","AQS"
"05/20/2010","48","","Red Rock Road","27-123-0866","AQS"
"05/21/2010","15","","Ramsey Health Center","27-123-0868","AQS"
"05/22/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"05/23/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"05/24/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"05/25/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"05/26/2010","22","","Red Rock Road","27-123-0866","AQS"
"05/27/2010","17","","Ramsey Health Center","27-123-0868","AQS"
"05/28/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"05/29/2010","24","","Ramsey Health Center","27-123-0868","AQS"
"05/30/2010","22","","Ramsey Health Center","27-123-0868","AQS"
"06/01/2010","23","","Red Rock Road","27-123-0866","AQS"
"06/03/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"06/04/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"06/05/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"06/06/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/07/2010","15","","Red Rock Road","27-123-0866","AQS"
"06/08/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/09/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/10/2010","10","","Ramsey Health Center","27-123-0868","AQS"
"06/11/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/12/2010","10","","Ramsey Health Center","27-123-0868","AQS"
"06/13/2010","12","","Humboldt Avenue","27-053-1007","AQS"
"06/14/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/15/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/16/2010","13","","Ramsey Health Center","27-123-0868","AQS"
"06/17/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"06/18/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"06/19/2010","17","","Red Rock Road","27-123-0866","AQS"
"06/20/2010","15","","Ramsey Health Center","27-123-0868","AQS"
"06/21/2010","17","","Ramsey Health Center","27-123-0868","AQS"
"06/22/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"06/23/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"06/24/2010","36","","Ramsey Health Center","27-123-0868","AQS"
"06/25/2010","32","","Red Rock Road","27-123-0866","AQS"
"06/26/2010","14","","Ramsey Health Center","27-123-0868","AQS"
"06/27/2010","11","","Ramsey Health Center","27-123-0868","AQS"
"06/28/2010","10","","Ramsey Health Center","27-123-0868","AQS"
"06/29/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"06/30/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"07/01/2010","39","","Red Rock Road","27-123-0866","AQS"
"07/02/2010","33","","Ramsey Health Center","27-123-0868","AQS"
"07/03/2010","33","","Ramsey Health Center","27-123-0868","AQS"
"07/04/2010","23","","Ramsey Health Center","27-123-0868","AQS"
"07/05/2010","22","","Ramsey Health Center","27-123-0868","AQS"
"07/06/2010","12","","Ramsey Health Center","27-123-0868","AQS"
"07/07/2010","25","","Red Rock Road","27-123-0866","AQS"
"07/08/2010","16","","Ramsey Health Center","27-123-0868","AQS"
"07/09/2010","19","","Ramsey Health Center","27-123-0868","AQS"
"07/10/2010","24","","Ramsey Health Center","27-123-0868","AQS"
"07/11/2010","10","","Ramsey Health Center","27-123-0868","AQS"
"07/12/2010","24","","Ramsey Health Center","27-123-0868","AQS"
"07/13/2010","31","","Red Rock Road","27-123-0866","AQS"
"07/14/2010","21","","Ramsey Health Center","27-123-0868","AQS"
"07/15/2010","26","","Ramsey Health Center","27-123-0868","AQS"
"07/16/2010","25","","Ramsey Health Center","27-123-0868","AQS"
"07/17/2010","22","","Ramsey Health Center","27-123-0868","AQS"
