"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","19","","Concord","06-013-0002","AQS"
"01/08/2010","44","","San Rafael","06-041-0001","AQS"
"01/14/2010","25","","San Francisco","06-075-0005","AQS"
"01/20/2010","15","","San Rafael","06-041-0001","AQS"
"01/23/2010","6","","Bethel Island","06-013-1002","AQS"
"01/26/2010","12","","Concord","06-013-0002","AQS"
"02/01/2010","25","","Berkeley","06-001-2004","AQS"
"02/07/2010","15","","San Francisco","06-075-0005","AQS"
"02/13/2010","18","","San Francisco","06-075-0005","AQS"
"02/19/2010","18","","Berkeley","06-001-2004","AQS"
"02/25/2010","19","","Berkeley","06-001-2004","AQS"
"03/03/2010","9","","Berkeley","06-001-2004","AQS"
"03/09/2010","15","","Berkeley","06-001-2004","AQS"
"03/15/2010","22","","Berkeley","06-001-2004","AQS"
"03/21/2010","16","","San Francisco","06-075-0005","AQS"
"03/27/2010","19","","Berkeley","06-001-2004","AQS"
"04/02/2010","16","","San Francisco","06-075-0005","AQS"
"04/08/2010","28","","San Francisco","06-075-0005","AQS"
"04/14/2010","16","","San Francisco","06-075-0005","AQS"
"04/20/2010","12","","Berkeley","06-001-2004","AQS"
"04/26/2010","22","","Berkeley","06-001-2004","AQS"
"05/02/2010","25","","San Francisco","06-075-0005","AQS"
"05/08/2010","16","","Berkeley","06-001-2004","AQS"
"05/14/2010","20","","San Pablo","06-013-1004","AQS"
"05/20/2010","18","","San Francisco","06-075-0005","AQS"
"05/25/2010","10","","San Pablo","06-013-1004","AQS"
"05/26/2010","14","","Berkeley","06-001-2004","AQS"
"06/01/2010","19","","Berkeley","06-001-2004","AQS"
"06/07/2010","18","","Berkeley","06-001-2004","AQS"
"06/13/2010","31","","Berkeley","06-001-2004","AQS"
"06/19/2010","17","","Berkeley","06-001-2004","AQS"
"06/25/2010","10","","Berkeley","06-001-2004","AQS"
"07/01/2010","26","","Berkeley","06-001-2004","AQS"
"07/07/2010","28","","Berkeley","06-001-2004","AQS"
"07/13/2010","25","","Berkeley","06-001-2004","AQS"
"07/19/2010","38","","Berkeley","06-001-2004","AQS"
"07/25/2010","10","","Berkeley","06-001-2004","AQS"
"07/31/2010","19","","Berkeley","06-001-2004","AQS"
"08/06/2010","18","","Bethel Island","06-013-1002","AQS"
"08/12/2010","14","","Bethel Island","06-013-1002","AQS"
"08/18/2010","15","","Bethel Island","06-013-1002","AQS"
"08/24/2010","40","","Bethel Island","06-013-1002","AQS"
"08/27/2010","25","","San Rafael","06-041-0001","AQS"
"08/30/2010","18","","San Pablo","06-013-1004","AQS"
"09/05/2010","37","","Berkeley","06-001-2004","AQS"
"09/11/2010","20","","Bethel Island","06-013-1002","AQS"
"09/17/2010","11","","Berkeley","06-001-2004","AQS"
"09/23/2010","21","","San Pablo","06-013-1004","AQS"
"09/29/2010","27","","Bethel Island","06-013-1002","AQS"
"10/05/2010","32","","Berkeley","06-001-2004","AQS"
"10/11/2010","58","","Bethel Island","06-013-1002","AQS"
