"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","52","","Sunrise Acres","32-003-0561","AQS"
"01/02/2010","30","","Sunrise Acres","32-003-0561","AQS"
"01/03/2010","29","","Sunrise Acres","32-003-0561","AQS"
"01/04/2010","40","","Sunrise Acres","32-003-0561","AQS"
"01/05/2010","44","","JD Smith","32-003-2002","AQS"
"01/06/2010","54","","JD Smith","32-003-2002","AQS"
"01/07/2010","36","","Sunrise Acres","32-003-0561","AQS"
"01/08/2010","25","","JD Smith","32-003-2002","AQS"
"01/09/2010","38","","Sunrise Acres","32-003-0561","AQS"
"01/10/2010","41","","Sunrise Acres","32-003-0561","AQS"
"01/11/2010","37","","Sunrise Acres","32-003-0561","AQS"
"01/12/2010","35","","Sunrise Acres","32-003-0561","AQS"
"01/13/2010","44","","Sunrise Acres","32-003-0561","AQS"
"01/14/2010","14","","JD Smith","32-003-2002","AQS"
"01/15/2010","30","","JD Smith","32-003-2002","AQS"
"01/16/2010","35","","Sunrise Acres","32-003-0561","AQS"
"01/17/2010","30","","Sunrise Acres","32-003-0561","AQS"
"01/18/2010","11","","JD Smith","32-003-2002","AQS"
"01/19/2010","9","","Mitchell Street","32-003-0020","AQS"
"01/20/2010","10","","Mitchell Street","32-003-0020","AQS"
"01/21/2010","6","","Mitchell Street","32-003-0020","AQS"
"01/22/2010","5","","Mitchell Street","32-003-0020","AQS"
"01/23/2010","9","","JD Smith","32-003-2002","AQS"
"01/24/2010","13","","JD Smith","32-003-2002","AQS"
"01/25/2010","20","","Sunrise Acres","32-003-0561","AQS"
"01/26/2010","24","","Sunrise Acres","32-003-0561","AQS"
"01/27/2010","7","","Mitchell Street","32-003-0020","AQS"
"01/28/2010","14","","JD Smith","32-003-2002","AQS"
"01/29/2010","20","","JD Smith","32-003-2002","AQS"
"01/30/2010","21","","JD Smith","32-003-2002","AQS"
"01/31/2010","23","","JD Smith","32-003-2002","AQS"
"02/01/2010","25","","JD Smith","32-003-2002","AQS"
"02/02/2010","25","","JD Smith","32-003-2002","AQS"
"02/03/2010","27","","JD Smith","32-003-2002","AQS"
"02/04/2010","25","","JD Smith","32-003-2002","AQS"
"02/05/2010","17","","Mitchell Street","32-003-0020","AQS"
"02/06/2010","10","","JD Smith","32-003-2002","AQS"
"02/07/2010","11","","JD Smith","32-003-2002","AQS"
"02/08/2010","18","","JD Smith","32-003-2002","AQS"
"02/09/2010","15","","JD Smith","32-003-2002","AQS"
"02/10/2010","14","","JD Smith","32-003-2002","AQS"
"02/11/2010","21","","JD Smith","32-003-2002","AQS"
"02/12/2010","29","","JD Smith","32-003-2002","AQS"
"02/13/2010","29","","JD Smith","32-003-2002","AQS"
"02/14/2010","23","","JD Smith","32-003-2002","AQS"
"02/15/2010","26","","Sunrise Acres","32-003-0561","AQS"
"02/16/2010","31","","JD Smith","32-003-2002","AQS"
"02/17/2010","31","","JD Smith","32-003-2002","AQS"
"02/18/2010","31","","JD Smith","32-003-2002","AQS"
"02/19/2010","25","","Sunrise Acres","32-003-0561","AQS"
"02/20/2010","19","","JD Smith","32-003-2002","AQS"
"02/21/2010","19","","JD Smith","32-003-2002","AQS"
"02/22/2010","9","","JD Smith","32-003-2002","AQS"
"02/23/2010","14","","Mitchell Street","32-003-0020","AQS"
"02/24/2010","15","","Mitchell Street","32-003-0020","AQS"
"02/25/2010","19","","JD Smith","32-003-2002","AQS"
"02/26/2010","22","","JD Smith","32-003-2002","AQS"
"02/27/2010","11","","Mitchell Street","32-003-0020","AQS"
"02/28/2010","12","","JD Smith","32-003-2002","AQS"
"03/01/2010","14","","JD Smith","32-003-2002","AQS"
"03/02/2010","29","","JD Smith","32-003-2002","AQS"
"03/03/2010","14","","JD Smith","32-003-2002","AQS"
"03/04/2010","13","","JD Smith","32-003-2002","AQS"
"03/05/2010","16","","JD Smith","32-003-2002","AQS"
"03/06/2010","19","","JD Smith","32-003-2002","AQS"
"03/07/2010","10","","JD Smith","32-003-2002","AQS"
"03/08/2010","6","","Paul Meyer","32-003-0043","AQS"
"03/09/2010","7","","Sunrise Acres","32-003-0561","AQS"
"03/10/2010","12","","JD Smith","32-003-2002","AQS"
"03/11/2010","15","","JD Smith","32-003-2002","AQS"
"03/12/2010","21","","JD Smith","32-003-2002","AQS"
"03/13/2010","25","","Joe Neal","32-003-0075","AQS"
"03/14/2010","10","","Mitchell Street","32-003-0020","AQS"
"03/15/2010","13","","Sunrise Acres","32-003-0561","AQS"
"03/16/2010","21","","ORR","32-003-1021","AQS"
"03/17/2010","29","","JD Smith","32-003-2002","AQS"
"03/18/2010","47","","JD Smith","32-003-2002","AQS"
"03/19/2010","20","","JD Smith","32-003-2002","AQS"
"03/20/2010","18","","JD Smith","32-003-2002","AQS"
"03/21/2010","19","","JD Smith","32-003-2002","AQS"
"03/22/2010","28","","JD Smith","32-003-2002","AQS"
"03/23/2010","25","","JD Smith","32-003-2002","AQS"
"03/24/2010","27","","JD Smith","32-003-2002","AQS"
"03/25/2010","28","","JD Smith","32-003-2002","AQS"
"03/26/2010","24","","JD Smith","32-003-2002","AQS"
"03/27/2010","19","","JD Smith","32-003-2002","AQS"
"03/28/2010","18","","JD Smith","32-003-2002","AQS"
"03/29/2010","23","","Sunrise Acres","32-003-0561","AQS"
"03/30/2010","44","","Apex","32-003-0022","AQS"
"03/31/2010","36","","Mitchell Street","32-003-0020","AQS"
"04/01/2010","16","","JD Smith","32-003-2002","AQS"
"04/02/2010","10","","Mitchell Street","32-003-0020","AQS"
"04/03/2010","31","","JD Smith","32-003-2002","AQS"
"04/04/2010","32","","Apex","32-003-0022","AQS"
"04/05/2010","18","","Mesquite","32-003-0023","AQS"
"04/06/2010","16","","JD Smith","32-003-2002","AQS"
"04/07/2010","27","","JD Smith","32-003-2002","AQS"
"04/08/2010","25","","JD Smith","32-003-2002","AQS"
