"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","10","","Chester","42-045-0002","AQS"
"01/02/2010","14","","Camden RRF","34-007-0009","AQS"
"01/03/2010","9","","Chester","42-045-0002","AQS"
"01/04/2010","9","","Chester","42-045-0002","AQS"
"01/05/2010","9","","Chester","42-045-0002","AQS"
"01/06/2010","11","","Chester","42-045-0002","AQS"
"01/07/2010","11","","Chester","42-045-0002","AQS"
"01/08/2010","31","","Camden RRF","34-007-0009","AQS"
"01/09/2010","6","","Chester","42-045-0002","AQS"
"01/10/2010","7","","Chester","42-045-0002","AQS"
"01/11/2010","18","","Chester","42-045-0002","AQS"
"01/12/2010","17","","Chester","42-045-0002","AQS"
"01/13/2010","14","","Chester","42-045-0002","AQS"
"01/14/2010","44","","Camden RRF","34-007-0009","AQS"
"01/15/2010","23","","Chester","42-045-0002","AQS"
"01/16/2010","22","","Chester","42-045-0002","AQS"
"01/17/2010","25","","Chester","42-045-0002","AQS"
"01/18/2010","8","","Chester","42-045-0002","AQS"
"01/19/2010","19","","Chester","42-045-0002","AQS"
"01/20/2010","32","","Camden RRF","34-007-0009","AQS"
"01/21/2010","13","","Chester","42-045-0002","AQS"
"01/22/2010","23","","Chester","42-045-0002","AQS"
"01/26/2010","10","","Camden RRF","34-007-0009","AQS"
"01/30/2010","11","","Chester","42-045-0002","AQS"
"01/31/2010","15","","Chester","42-045-0002","AQS"
"02/01/2010","38","","Camden RRF","34-007-0009","AQS"
"02/02/2010","24","","Chester","42-045-0002","AQS"
"02/03/2010","20","","Chester","42-045-0002","AQS"
"02/04/2010","14","","Chester","42-045-0002","AQS"
"02/05/2010","30","","Chester","42-045-0002","AQS"
"02/06/2010","19","","Chester","42-045-0002","AQS"
"02/07/2010","11","","Air Management Services Laboratory (AMS LAB)","42-101-0004","AQS"
"02/08/2010","11","","Chester","42-045-0002","AQS"
"02/09/2010","12","","Chester","42-045-0002","AQS"
"02/10/2010","11","","Chester","42-045-0002","AQS"
"02/11/2010","7","","Chester","42-045-0002","AQS"
"02/12/2010","12","","Chester","42-045-0002","AQS"
"02/13/2010","21","","LAT/LONG IS OF SAMPLING INLET","42-101-0649","AQS"
"02/14/2010","12","","Chester","42-045-0002","AQS"
"02/15/2010","14","","Chester","42-045-0002","AQS"
"02/16/2010","17","","Chester","42-045-0002","AQS"
"02/17/2010","11","","Chester","42-045-0002","AQS"
"02/18/2010","9","","Chester","42-045-0002","AQS"
"02/19/2010","19","","Camden RRF","34-007-0009","AQS"
"02/20/2010","8","","Chester","42-045-0002","AQS"
"02/21/2010","10","","Chester","42-045-0002","AQS"
"02/23/2010","27","","Chester","42-045-0002","AQS"
"02/24/2010","7","","Chester","42-045-0002","AQS"
"02/25/2010","19","","Camden RRF","34-007-0009","AQS"
"02/26/2010","8","","Chester","42-045-0002","AQS"
"02/27/2010","10","","Chester","42-045-0002","AQS"
"02/28/2010","9","","Chester","42-045-0002","AQS"
"03/01/2010","12","","Chester","42-045-0002","AQS"
"03/02/2010","16","","Chester","42-045-0002","AQS"
