"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2010","33","","El Cajon","06-073-0003","AQS"
"01/02/2010","31","","Otay Mesa","06-073-2007","AQS"
"01/08/2010","63","","Otay Mesa","06-073-2007","AQS"
"01/12/2010","32","","Chula Vista","06-073-0001","AQS"
"01/14/2010","55","","Otay Mesa","06-073-2007","AQS"
"01/16/2010","30","","El Cajon","06-073-0003","AQS"
"01/20/2010","33","","Otay Mesa","06-073-2007","AQS"
"01/26/2010","59","","Otay Mesa","06-073-2007","AQS"
"02/01/2010","57","","Otay Mesa","06-073-2007","AQS"
"02/07/2010","19","","Chula Vista","06-073-0001","AQS"
"02/13/2010","63","","Otay Mesa","06-073-2007","AQS"
"02/19/2010","47","","Otay Mesa","06-073-2007","AQS"
"02/25/2010","34","","Otay Mesa","06-073-2007","AQS"
"03/03/2010","37","","Otay Mesa","06-073-2007","AQS"
"03/09/2010","44","","Otay Mesa","06-073-2007","AQS"
"03/15/2010","54","","Otay Mesa","06-073-2007","AQS"
"03/17/2010","14","","Escondido","06-073-1002","AQS"
"03/21/2010","51","","Otay Mesa","06-073-2007","AQS"
"03/27/2010","53","","Otay Mesa","06-073-2007","AQS"
"04/02/2010","27","","Otay Mesa","06-073-2007","AQS"
"04/08/2010","51","","Otay Mesa","06-073-2007","AQS"
"04/10/2010","31","","Chula Vista","06-073-0001","AQS"
"04/14/2010","34","","Otay Mesa","06-073-2007","AQS"
"04/20/2010","20","","Donovan","06-073-1014","AQS"
"04/26/2010","27","","Donovan","06-073-1014","AQS"
"04/28/2010","37","","Otay Mesa","06-073-2007","AQS"
"05/02/2010","29","","Otay Mesa","06-073-2007","AQS"
"05/08/2010","45","","Otay Mesa","06-073-2007","AQS"
"05/14/2010","44","","Campo Indian Reservation","06-073-0077","AQS"
"05/20/2010","37","","Otay Mesa","06-073-2007","AQS"
"05/26/2010","25","","Campo Indian Reservation","06-073-0077","AQS"
"06/01/2010","54","","Campo Indian Reservation","06-073-0077","AQS"
"06/07/2010","40","","Campo Indian Reservation","06-073-0077","AQS"
"06/08/2010","18","","Chula Vista","06-073-0001","AQS"
"06/13/2010","32","","Otay Mesa","06-073-2007","AQS"
"06/19/2010","37","","Campo Indian Reservation","06-073-0077","AQS"
"06/25/2010","39","","Otay Mesa","06-073-2007","AQS"
"07/01/2010","42","","Campo Indian Reservation","06-073-0077","AQS"
"07/07/2010","42","","Campo Indian Reservation","06-073-0077","AQS"
"07/13/2010","43","","Campo Indian Reservation","06-073-0077","AQS"
"07/19/2010","42","","Campo Indian Reservation","06-073-0077","AQS"
"07/21/2010","15","","El Cajon","06-073-0003","AQS"
"07/25/2010","36","","Campo Indian Reservation","06-073-0077","AQS"
"07/31/2010","47","","Campo Indian Reservation","06-073-0077","AQS"
"08/06/2010","44","","Campo Indian Reservation","06-073-0077","AQS"
"08/12/2010","43","","Campo Indian Reservation","06-073-0077","AQS"
"08/18/2010","56","","Otay Mesa","06-073-2007","AQS"
"08/20/2010","25","","Chula Vista","06-073-0001","AQS"
"08/24/2010","62","","Otay Mesa","06-073-2007","AQS"
"08/26/2010","28","","Chula Vista","06-073-0001","AQS"
"08/30/2010","33","","Otay Mesa","06-073-2007","AQS"
"09/05/2010","27","","Otay Mesa","06-073-2007","AQS"
"09/11/2010","28","","Campo Indian Reservation","06-073-0077","AQS"
"09/17/2010","39","","Campo Indian Reservation","06-073-0077","AQS"
"09/23/2010","54","","Otay Mesa","06-073-2007","AQS"
"09/24/2010","32","","Escondido","06-073-1002","AQS"
"09/29/2010","59","","Otay Mesa","06-073-2007","AQS"
"10/05/2010","39","","Otay Mesa","06-073-2007","AQS"
"10/11/2010","41","","Donovan","06-073-1014","AQS"
"10/14/2010","32","","Otay Mesa","06-073-2007","AQS"
"10/17/2010","27","","Manzanita Reservation","06-073-2000","AQS"
"10/23/2010","17","","Donovan","06-073-1014","AQS"
"10/26/2010","52","","Otay Mesa","06-073-2007","AQS"
"10/29/2010","77","","Otay Mesa","06-073-2007","AQS"
"11/04/2010","60","","Otay Mesa","06-073-2007","AQS"
"11/10/2010","46","","Otay Mesa","06-073-2007","AQS"
"11/16/2010","60","","Otay Mesa","06-073-2007","AQS"
"11/21/2010","6","","Kearny Mesa","06-073-0006","AQS"
"11/22/2010","23","","San Diego - Beardsley Street","06-073-1010","AQS"
"11/28/2010","18","","Otay Mesa","06-073-2007","AQS"
"12/04/2010","61","","Otay Mesa","06-073-2007","AQS"
"12/09/2010","31","","Escondido","06-073-1002","AQS"
"12/10/2010","74","","Otay Mesa","06-073-2007","AQS"
"12/13/2010","24","","Escondido","06-073-1002","AQS"
"12/16/2010","17","","San Diego - Beardsley Street","06-073-1010","AQS"
"12/19/2010","14","","Otay Mesa","06-073-2007","AQS"
"12/22/2010","13","","Otay Mesa","06-073-2007","AQS"
"12/23/2010","18","","San Diego - Beardsley Street","06-073-1010","AQS"
"12/25/2010","39","","Escondido","06-073-1002","AQS"
"12/28/2010","61","","Otay Mesa","06-073-2007","AQS"
"01/03/2011","19","","Otay Mesa","06-073-2007","AQS"
"01/06/2011","21","","El Cajon","06-073-0003","AQS"
"01/09/2011","24","","El Cajon","06-073-0003","AQS"
"01/11/2011","60","","Otay Mesa","06-073-2007","AQS"
"01/12/2011","23","","El Cajon","06-073-0003","AQS"
"01/15/2011","52","","Otay Mesa","06-073-2007","AQS"
"01/18/2011","27","","Kearny Mesa","06-073-0006","AQS"
"01/21/2011","73","","Otay Mesa","06-073-2007","AQS"
"01/24/2011","27","","El Cajon","06-073-0003","AQS"
"01/27/2011","59","","Otay Mesa","06-073-2007","AQS"
"01/30/2011","15","","El Cajon","06-073-0003","AQS"
"02/02/2011","43","","Otay Mesa","06-073-2007","AQS"
"02/05/2011","32","","El Cajon","06-073-0003","AQS"
"02/08/2011","51","","Otay Mesa","06-073-2007","AQS"
"02/12/2011","19","","El Cajon","06-073-0003","AQS"
