"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","17","","San Jose - Jackson","06-085-0005","AQS"
"01/08/2010","41","","San Jose - Jackson","06-085-0005","AQS"
"01/14/2010","23","","San Jose - Jackson","06-085-0005","AQS"
"01/20/2010","7","","San Jose - Jackson","06-085-0005","AQS"
"01/22/2010","3","","Hollister","06-069-0002","AQS"
"01/26/2010","7","","San Jose - Jackson","06-085-0005","AQS"
"02/01/2010","19","","San Jose - Jackson","06-085-0005","AQS"
"02/07/2010","13","","San Jose - Jackson","06-085-0005","AQS"
"02/13/2010","17","","San Jose - Jackson","06-085-0005","AQS"
"02/19/2010","17","","San Jose - Jackson","06-085-0005","AQS"
"02/23/2010","6","","Hollister","06-069-0002","AQS"
"02/25/2010","15","","San Jose - Jackson","06-085-0005","AQS"
"03/03/2010","9","","San Jose - Jackson","06-085-0005","AQS"
"03/09/2010","13","","San Jose - Jackson","06-085-0005","AQS"
"03/15/2010","19","","San Jose - Jackson","06-085-0005","AQS"
"03/17/2010","13","","Hollister","06-069-0002","AQS"
"03/21/2010","17","","San Jose - Jackson","06-085-0005","AQS"
"03/27/2010","17","","San Jose - Jackson","06-085-0005","AQS"
"04/02/2010","16","","San Jose - Jackson","06-085-0005","AQS"
"04/08/2010","26","","San Jose - Jackson","06-085-0005","AQS"
"04/14/2010","16","","San Jose - Jackson","06-085-0005","AQS"
"04/20/2010","9","","San Jose - Jackson","06-085-0005","AQS"
"04/26/2010","18","","San Jose - Jackson","06-085-0005","AQS"
"05/02/2010","19","","San Jose - Jackson","06-085-0005","AQS"
"05/08/2010","12","","Hollister","06-069-0002","AQS"
"05/14/2010","21","","San Jose - Jackson","06-085-0005","AQS"
"05/20/2010","16","","San Jose - Jackson","06-085-0005","AQS"
"05/26/2010","10","","San Jose - Jackson","06-085-0005","AQS"
"06/01/2010","11","","San Jose - Jackson","06-085-0005","AQS"
"06/07/2010","13","","San Jose - Jackson","06-085-0005","AQS"
"06/13/2010","24","","Hollister","06-069-0002","AQS"
"06/19/2010","12","","Hollister","06-069-0002","AQS"
"06/25/2010","10","","San Jose - Jackson","06-085-0005","AQS"
"07/01/2010","22","","San Jose - Jackson","06-085-0005","AQS"
"07/07/2010","9","","Hollister","06-069-0002","AQS"
"07/09/2010","14","","San Jose - Jackson","06-085-0005","AQS"
"07/13/2010","13","","San Jose - Jackson","06-085-0005","AQS"
"07/19/2010","33","","San Jose - Jackson","06-085-0005","AQS"
"07/21/2010","12","","Hollister","06-069-0002","AQS"
"07/25/2010","11","","San Jose - Jackson","06-085-0005","AQS"
"07/31/2010","12","","Hollister","06-069-0002","AQS"
"08/06/2010","14","","San Jose - Jackson","06-085-0005","AQS"
"08/12/2010","13","","San Jose - Jackson","06-085-0005","AQS"
"08/18/2010","13","","Hollister","06-069-0002","AQS"
"08/24/2010","31","","San Jose - Jackson","06-085-0005","AQS"
"08/30/2010","14","","San Jose - Jackson","06-085-0005","AQS"
"09/05/2010","24","","San Jose - Jackson","06-085-0005","AQS"
"09/09/2010","10","","Cupertino Monta Vista","06-085-2009","AQS"
"09/11/2010","19","","Hollister","06-069-0002","AQS"
"09/17/2010","11","","Cupertino Monta Vista","06-085-2009","AQS"
"09/23/2010","20","","San Jose - Jackson","06-085-0005","AQS"
"09/29/2010","30","","San Jose - Jackson","06-085-0005","AQS"
"10/05/2010","28","","Hollister","06-069-0002","AQS"
"10/11/2010","31","","Hollister","06-069-0002","AQS"
"10/17/2010","20","","San Jose - Jackson","06-085-0005","AQS"
"10/23/2010","10","","San Jose - Jackson","06-085-0005","AQS"
"10/29/2010","22","","San Jose - Jackson","06-085-0005","AQS"
"11/04/2010","34","","San Jose - Jackson","06-085-0005","AQS"
"11/10/2010","11","","San Jose - Jackson","06-085-0005","AQS"
"11/16/2010","19","","San Jose - Jackson","06-085-0005","AQS"
"11/22/2010","12","","San Jose - Jackson","06-085-0005","AQS"
"11/28/2010","16","","San Jose - Jackson","06-085-0005","AQS"
"12/04/2010","21","","San Jose - Jackson","06-085-0005","AQS"
"12/10/2010","13","","San Jose - Jackson","06-085-0005","AQS"
"12/16/2010","25","","San Jose - Jackson","06-085-0005","AQS"
"12/22/2010","7","","San Jose - Jackson","06-085-0005","AQS"
"12/28/2010","12","","San Jose - Jackson","06-085-0005","AQS"
"01/03/2011","16","","San Jose - Jackson","06-085-0005","AQS"
"01/06/2011","22","","San Jose - Jackson","06-085-0005","AQS"
"01/09/2011","13","","San Jose - Jackson","06-085-0005","AQS"
"01/12/2011","29","","San Jose - Jackson","06-085-0005","AQS"
"01/15/2011","24","","San Jose - Jackson","06-085-0005","AQS"
"01/18/2011","15","","San Jose - Jackson","06-085-0005","AQS"
"01/21/2011","37","","San Jose - Jackson","06-085-0005","AQS"
"01/24/2011","27","","San Jose - Jackson","06-085-0005","AQS"
"01/27/2011","30","","San Jose - Jackson","06-085-0005","AQS"
"01/30/2011","6","","San Jose - Jackson","06-085-0005","AQS"
"02/01/2011","13","","Hollister","06-069-0002","AQS"
"02/02/2011","13","","San Jose - Jackson","06-085-0005","AQS"
"02/03/2011","13","","Hollister","06-069-0002","AQS"
"02/04/2011","15","","Hollister","06-069-0002","AQS"
"02/05/2011","19","","San Jose - Jackson","06-085-0005","AQS"
"02/06/2011","3","","Hollister","06-069-0002","AQS"
"02/07/2011","8","","Hollister","06-069-0002","AQS"
"02/08/2011","12","","San Jose - Jackson","06-085-0005","AQS"
"02/09/2011","3","","Hollister","06-069-0002","AQS"
"02/10/2011","9","","Hollister","06-069-0002","AQS"
"02/11/2011","32","","San Jose - Jackson","06-085-0005","AQS"
"02/12/2011","11","","Hollister","06-069-0002","AQS"
"02/13/2011","13","","Hollister","06-069-0002","AQS"
"02/14/2011","12","","Hollister","06-069-0002","AQS"
"02/15/2011","10","","Hollister","06-069-0002","AQS"
"02/16/2011","8","","Hollister","06-069-0002","AQS"
"02/17/2011","5","","Hollister","06-069-0002","AQS"
"02/18/2011","6","","Hollister","06-069-0002","AQS"
"02/19/2011","4","","Hollister","06-069-0002","AQS"
"02/20/2011","11","","San Jose - Jackson","06-085-0005","AQS"
"02/21/2011","9","","Hollister","06-069-0002","AQS"
"02/22/2011","10","","Hollister","06-069-0002","AQS"
"02/23/2011","15","","San Jose - Jackson","06-085-0005","AQS"
"02/24/2011","11","","Hollister","06-069-0002","AQS"
"02/25/2011","6","","Hollister","06-069-0002","AQS"
"02/26/2011","9","","San Jose - Jackson","06-085-0005","AQS"
"02/27/2011","7","","Hollister","06-069-0002","AQS"
"02/28/2011","9","","Hollister","06-069-0002","AQS"
"03/01/2011","12","","San Jose - Jackson","06-085-0005","AQS"
"03/02/2011","6","","Hollister","06-069-0002","AQS"
"03/03/2011","6","","Hollister","06-069-0002","AQS"
"03/04/2011","12","","San Jose - Jackson","06-085-0005","AQS"
"03/05/2011","14","","Hollister","06-069-0002","AQS"
"03/06/2011","9","","Hollister","06-069-0002","AQS"
"03/07/2011","11","","Hollister","06-069-0002","AQS"
"03/08/2011","11","","Hollister","06-069-0002","AQS"
"03/09/2011","19","","Hollister","06-069-0002","AQS"
"03/10/2011","18","","Hollister","06-069-0002","AQS"
"03/11/2011","19","","Hollister","06-069-0002","AQS"
"03/12/2011","13","","Hollister","06-069-0002","AQS"
"03/13/2011","10","","Hollister","06-069-0002","AQS"
"03/14/2011","6","","Hollister","06-069-0002","AQS"
"03/15/2011","6","","Hollister","06-069-0002","AQS"
"03/16/2011","14","","San Jose - Jackson","06-085-0005","AQS"
"03/17/2011","16","","Hollister","06-069-0002","AQS"
"03/18/2011","9","","Hollister","06-069-0002","AQS"
"03/19/2011","4","","Hollister","06-069-0002","AQS"
"03/20/2011","2","","Hollister","06-069-0002","AQS"
"03/21/2011","6","","Hollister","06-069-0002","AQS"
"03/22/2011","9","","San Jose - Jackson","06-085-0005","AQS"
"03/23/2011","7","","Hollister","06-069-0002","AQS"
"03/24/2011","6","","Hollister","06-069-0002","AQS"
"03/25/2011","13","","Hollister","06-069-0002","AQS"
"03/26/2011","6","","Hollister","06-069-0002","AQS"
"03/27/2011","11","","Hollister","06-069-0002","AQS"
"03/28/2011","12","","Hollister","06-069-0002","AQS"
"03/29/2011","12","","Hollister","06-069-0002","AQS"
"03/30/2011","9","","Hollister","06-069-0002","AQS"
"03/31/2011","18","","San Jose - Jackson","06-085-0005","AQS"
"04/01/2011","15","","Hollister","06-069-0002","AQS"
"04/02/2011","21","","Hollister","06-069-0002","AQS"
"04/03/2011","15","","San Jose - Jackson","06-085-0005","AQS"
"04/04/2011","10","","Hollister","06-069-0002","AQS"
"04/05/2011","19","","Hollister","06-069-0002","AQS"
"04/06/2011","22","","San Jose - Jackson","06-085-0005","AQS"
"04/07/2011","12","","Hollister","06-069-0002","AQS"
"04/08/2011","6","","Hollister","06-069-0002","AQS"
"04/09/2011","17","","San Jose - Jackson","06-085-0005","AQS"
"04/10/2011","13","","Hollister","06-069-0002","AQS"
"04/11/2011","14","","Hollister","06-069-0002","AQS"
"04/12/2011","17","","Hollister","06-069-0002","AQS"
"04/13/2011","11","","Hollister","06-069-0002","AQS"
"04/14/2011","15","","Hollister","06-069-0002","AQS"
"04/15/2011","15","","Hollister","06-069-0002","AQS"
"04/16/2011","11","","Hollister","06-069-0002","AQS"
"04/17/2011","6","","Hollister","06-069-0002","AQS"
"04/18/2011","13","","Hollister","06-069-0002","AQS"
"04/19/2011","8","","Hollister","06-069-0002","AQS"
"04/20/2011","13","","Hollister","06-069-0002","AQS"
"04/21/2011","12","","Hollister","06-069-0002","AQS"
"04/22/2011","17","","Hollister","06-069-0002","AQS"
"04/23/2011","16","","Hollister","06-069-0002","AQS"
"04/24/2011","19","","Hollister","06-069-0002","AQS"
"04/25/2011","12","","Hollister","06-069-0002","AQS"
"04/26/2011","20","","Hollister","06-069-0002","AQS"
"04/27/2011","19","","Hollister","06-069-0002","AQS"
"04/30/2011","13","","San Jose - Jackson","06-085-0005","AQS"
"05/03/2011","17","","San Jose - Jackson","06-085-0005","AQS"
"05/04/2011","34","","Hollister","06-069-0002","AQS"
"05/05/2011","31","","Hollister","06-069-0002","AQS"
"05/06/2011","28","","Hollister","06-069-0002","AQS"
"05/07/2011","18","","Hollister","06-069-0002","AQS"
"05/08/2011","10","","Hollister","06-069-0002","AQS"
"05/09/2011","26","","Hollister","06-069-0002","AQS"
"05/10/2011","18","","Hollister","06-069-0002","AQS"
"05/11/2011","17","","Hollister","06-069-0002","AQS"
"05/12/2011","18","","Hollister","06-069-0002","AQS"
"05/13/2011","19","","Hollister","06-069-0002","AQS"
"05/14/2011","18","","Hollister","06-069-0002","AQS"
"05/15/2011","5","","Hollister","06-069-0002","AQS"
"05/16/2011","6","","Hollister","06-069-0002","AQS"
"05/17/2011","6","","Hollister","06-069-0002","AQS"
"05/18/2011","8","","San Jose - Jackson","06-085-0005","AQS"
"05/19/2011","17","","Hollister","06-069-0002","AQS"
"05/20/2011","20","","Hollister","06-069-0002","AQS"
"05/21/2011","20","","Hollister","06-069-0002","AQS"
"05/22/2011","17","","Hollister","06-069-0002","AQS"
"05/23/2011","18","","Hollister","06-069-0002","AQS"
"05/24/2011","18","","Hollister","06-069-0002","AQS"
"05/25/2011","12","","Hollister","06-069-0002","AQS"
"05/26/2011","15","","Hollister","06-069-0002","AQS"
"05/27/2011","15","","San Jose - Jackson","06-085-0005","AQS"
"05/28/2011","13","","Hollister","06-069-0002","AQS"
"05/29/2011","12","","Hollister","06-069-0002","AQS"
"05/30/2011","15","","Hollister","06-069-0002","AQS"
"05/31/2011","11","","Hollister","06-069-0002","AQS"
"06/01/2011","6","","Hollister","06-069-0002","AQS"
"06/02/2011","7","","Hollister","06-069-0002","AQS"
"06/03/2011","10","","Hollister","06-069-0002","AQS"
"06/04/2011","6","","Hollister","06-069-0002","AQS"
"06/05/2011","6","","Hollister","06-069-0002","AQS"
"06/06/2011","9","","Hollister","06-069-0002","AQS"
"06/07/2011","14","","Hollister","06-069-0002","AQS"
"06/08/2011","21","","San Jose - Jackson","06-085-0005","AQS"
"06/09/2011","20","","Hollister","06-069-0002","AQS"
"06/10/2011","19","","Hollister","06-069-0002","AQS"
"06/11/2011","15","","Hollister","06-069-0002","AQS"
"06/12/2011","11","","Hollister","06-069-0002","AQS"
