"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/02/2010","14","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"01/05/2010","9","","Portland - SE Lafayette","41-051-0080","AQS"
"01/08/2010","13","","Not Available","41-051-0009","AQS"
"01/11/2010","6","","Portland - SE Lafayette","41-051-0080","AQS"
"01/14/2010","20","","Not Available","41-051-0009","AQS"
"01/17/2010","12","","Portland - SE Lafayette","41-051-0080","AQS"
"01/20/2010","14","","Not Available","41-051-0009","AQS"
"01/23/2010","18","","Portland - SE Lafayette","41-051-0080","AQS"
"01/26/2010","22","","Not Available","41-051-0009","AQS"
"01/29/2010","8","","Portland - SE Lafayette","41-051-0080","AQS"
"02/01/2010","13","","Not Available","41-051-0009","AQS"
"02/04/2010","5","","Portland - SE Lafayette","41-051-0080","AQS"
"02/07/2010","19","","Portland - SE Lafayette","41-051-0080","AQS"
"02/10/2010","15","","Portland - SE Lafayette","41-051-0080","AQS"
"02/13/2010","12","","Not Available","41-051-0009","AQS"
"02/16/2010","7","","Portland - SE Lafayette","41-051-0080","AQS"
"02/19/2010","19","","Not Available","41-051-0009","AQS"
"02/22/2010","9","","Portland - SE Lafayette","41-051-0080","AQS"
"02/25/2010","12","","Not Available","41-051-0009","AQS"
"02/28/2010","14","","Portland - SE Lafayette","41-051-0080","AQS"
"03/03/2010","18","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"03/06/2010","11","","Portland - SE Lafayette","41-051-0080","AQS"
"03/09/2010","14","","Not Available","41-051-0009","AQS"
"03/12/2010","3","","Portland - SE Lafayette","41-051-0080","AQS"
"03/15/2010","20","","Not Available","41-051-0009","AQS"
"03/18/2010","10","","Portland - SE Lafayette","41-051-0080","AQS"
"03/21/2010","6","","Not Available","41-051-0009","AQS"
"03/24/2010","12","","Portland - SE Lafayette","41-051-0080","AQS"
"03/27/2010","19","","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS"
"03/30/2010","3","","Portland - SE Lafayette","41-051-0080","AQS"
"04/02/2010","7","","Not Available","41-051-0009","AQS"
"04/05/2010","4","","Portland - SE Lafayette","41-051-0080","AQS"
