Date,ppt (inches),tmean (degrees F)
2010-01-01,1.26,44.9
2010-01-02,0.37,49.7
2010-01-03,0.02,45.3
2010-01-04,0.04,43.9
2010-01-05,0.11,48.0
2010-01-06,1.02,52.1
2010-01-07,0.08,43.6
2010-01-08,0.07,40.6
2010-01-09,0.42,40.0
2010-01-10,0.01,42.1
2010-01-11,0.02,39.6
2010-01-12,0.50,44.3
2010-01-13,0.28,50.0
2010-01-14,0.14,47.6
2010-01-15,0.00,47.8
2010-01-16,0.86,50.1
2010-01-17,0.25,49.7
2010-01-18,0.32,50.5
2010-01-19,0.05,48.2
2010-01-20,0.02,50.2
2010-01-21,0.08,44.8
2010-01-22,0.09,48.1
2010-01-23,0.23,42.4
2010-01-24,0.06,44.7
2010-01-25,0.81,43.9
2010-01-26,0.02,47.7
2010-01-27,0.02,45.5
2010-01-28,0.00,41.3
2010-01-29,0.00,43.6
2010-01-30,0.05,47.5
2010-01-31,0.06,45.7
2010-02-01,0.03,46.6
2010-02-02,0.26,41.9
2010-02-03,0.16,43.9
2010-02-04,0.15,47.5
2010-02-05,0.11,47.8
2010-02-06,0.00,52.2
2010-02-07,0.13,46.4
2010-02-08,0.01,45.4
2010-02-09,0.00,38.8
2010-02-10,0.00,39.4
2010-02-11,0.15,42.6
2010-02-12,0.37,51.4
2010-02-13,0.20,49.1
2010-02-14,0.34,49.4
2010-02-15,0.06,47.7
2010-02-16,0.33,46.5
2010-02-17,0.02,50.5
2010-02-18,0.00,45.0
2010-02-19,0.00,48.3
2010-02-20,0.00,47.6
2010-02-21,0.00,45.4
2010-02-22,0.00,42.8
2010-02-23,0.00,40.9
2010-02-24,0.74,42.1
2010-02-25,0.12,47.8
2010-02-26,0.53,50.7
2010-02-27,0.46,49.3
2010-02-28,0.01,50.4
2010-03-01,0.00,49.3
2010-03-02,0.00,47.7
2010-03-03,0.10,49.1
2010-03-04,0.01,45.8
2010-03-05,0.00,47.3
2010-03-06,0.00,47.1
2010-03-07,0.00,50.0
2010-03-08,0.14,46.0
2010-03-09,0.01,41.8
2010-03-10,0.10,41.2
2010-03-11,0.03,43.5
2010-03-12,0.88,47.5
2010-03-13,0.29,44.6
2010-03-14,0.01,41.8
2010-03-15,0.00,43.2
2010-03-16,0.00,52.3
2010-03-17,0.04,47.5
2010-03-18,0.00,45.2
2010-03-19,0.00,47.5
2010-03-20,0.00,50.6
2010-03-21,0.00,51.6
2010-03-22,0.09,50.4
2010-03-23,0.00,45.6
2010-03-24,0.00,47.5
2010-03-25,0.50,53.2
2010-03-26,0.77,46.9
2010-03-27,0.03,46.6
2010-03-28,0.44,51.2
2010-03-29,1.02,50.7
2010-03-30,0.75,45.5
2010-03-31,0.32,41.5
2010-04-01,0.01,42.3
2010-04-02,0.32,42.8
2010-04-03,0.62,44.2
2010-04-04,0.14,41.7
2010-04-05,0.16,46.6
2010-04-06,0.30,44.2
2010-04-07,0.12,47.5
2010-04-08,0.28,49.1
2010-04-09,0.04,42.8
2010-04-10,0.00,44.8
2010-04-11,0.13,50.3
2010-04-12,0.14,52.2
2010-04-13,0.01,54.3
2010-04-14,0.06,47.6
2010-04-15,0.75,48.8
2010-04-16,0.02,51.8
2010-04-17,0.00,54.7
2010-04-18,0.00,54.3
2010-04-19,0.00,57.2
2010-04-20,0.10,57.8
2010-04-21,0.13,50.9
2010-04-22,0.00,48.3
2010-04-23,0.00,48.6
2010-04-24,0.00,51.3
2010-04-25,0.05,46.9
2010-04-26,0.00,51.2
2010-04-27,0.78,54.0
2010-04-28,0.25,48.3
2010-04-29,0.14,47.8
2010-04-30,0.01,49.0
2010-05-01,0.00,51.2
2010-05-02,0.00,52.5
2010-05-03,0.22,53.9
2010-05-04,0.07,46.1
2010-05-05,0.12,44.8
2010-05-06,0.09,44.7
2010-05-07,0.00,47.8
2010-05-08,0.00,53.9
2010-05-09,0.00,54.1
2010-05-10,0.11,54.5
2010-05-11,0.00,52.9
2010-05-12,0.00,53.0
2010-05-13,0.00,53.8
2010-05-14,0.00,57.4
2010-05-15,0.00,60.7
2010-05-16,0.00,59.6
2010-05-17,0.13,62.9
2010-05-18,0.10,61.8
2010-05-19,0.07,56.2
2010-05-20,0.49,53.8
2010-05-21,0.33,50.6
2010-05-22,0.40,47.2
2010-05-23,0.16,48.3
2010-05-24,0.09,48.9
2010-05-25,0.03,52.6
2010-05-26,0.60,56.0
2010-05-27,0.11,54.8
2010-05-28,0.00,54.6
2010-05-29,0.02,53.1
2010-05-30,0.00,56.1
2010-05-31,0.29,60.6
2010-06-01,0.02,60.2
2010-06-02,0.46,58.0
2010-06-03,0.27,54.2
2010-06-04,0.73,52.4
2010-06-05,0.04,55.4
2010-06-06,0.06,60.0
2010-06-07,0.07,60.2
2010-06-08,0.00,59.9
2010-06-09,0.16,59.4
2010-06-10,0.26,56.2
2010-06-11,0.06,54.4
2010-06-12,0.00,54.3
2010-06-13,0.00,64.3
2010-06-14,0.00,59.5
2010-06-15,0.00,55.0
2010-06-16,0.26,52.7
2010-06-17,0.00,54.0
2010-06-18,0.00,55.7
2010-06-19,0.00,57.5
2010-06-20,0.00,59.1
2010-06-21,0.00,54.7
2010-06-22,0.00,58.4
2010-06-23,0.00,63.2
2010-06-24,0.00,66.3
2010-06-25,0.00,67.0
2010-06-26,0.00,62.4
2010-06-27,0.00,64.0
2010-06-28,0.00,67.3
2010-06-29,0.00,64.2
2010-06-30,0.00,59.5
2010-07-01,0.00,60.0
2010-07-02,0.07,59.0
2010-07-03,0.03,58.6
2010-07-04,0.00,58.8
2010-07-05,0.00,59.0
2010-07-06,0.00,59.0
2010-07-07,0.00,68.9
2010-07-08,0.00,76.6
2010-07-09,0.00,76.4
2010-07-10,0.00,76.6
2010-07-11,0.00,72.0
2010-07-12,0.00,72.7
2010-07-13,0.00,59.9
2010-07-14,0.00,60.3
2010-07-15,0.00,68.1
2010-07-16,0.00,69.9
2010-07-17,0.00,64.5
2010-07-18,0.00,63.4
2010-07-19,0.00,62.5
2010-07-20,0.00,62.4
2010-07-21,0.00,62.7
2010-07-22,0.00,65.7
2010-07-23,0.00,65.5
2010-07-24,0.00,68.6
2010-07-25,0.00,75.6
2010-07-26,0.00,72.5
2010-07-27,0.00,71.7
2010-07-28,0.00,69.8
2010-07-29,0.00,65.1
2010-07-30,0.00,68.1
2010-07-31,0.00,66.3
2010-08-01,0.00,62.1
2010-08-02,0.00,65.9
2010-08-03,0.00,68.5
2010-08-04,0.00,66.7
2010-08-05,0.00,66.6
2010-08-06,0.00,71.5
2010-08-07,0.00,69.2
2010-08-08,0.04,67.1
2010-08-09,0.00,66.1
2010-08-10,0.00,61.7
2010-08-11,0.00,62.4
2010-08-12,0.00,66.4
2010-08-13,0.00,68.9
2010-08-14,0.00,74.2
2010-08-15,0.00,78.5
2010-08-16,0.00,74.1
2010-08-17,0.00,74.9
2010-08-18,0.00,72.3
2010-08-19,0.00,65.1
2010-08-20,0.00,61.3
2010-08-21,0.00,61.5
2010-08-22,0.00,60.1
2010-08-23,0.00,60.8
2010-08-24,0.00,64.5
2010-08-25,0.00,72.8
2010-08-26,0.00,74.3
2010-08-27,0.00,60.4
2010-08-28,0.00,60.0
2010-08-29,0.00,61.3
2010-08-30,0.10,56.8
2010-08-31,0.09,59.2
2010-09-01,0.01,58.5
2010-09-02,0.02,64.8
2010-09-03,0.00,71.0
2010-09-04,0.00,71.0
2010-09-05,0.00,60.0
2010-09-06,0.00,56.6
2010-09-07,0.02,59.1
2010-09-08,0.16,57.8
2010-09-09,0.08,57.6
2010-09-10,0.02,57.1
2010-09-11,0.00,58.6
2010-09-12,0.00,59.1
2010-09-13,0.00,63.0
2010-09-14,0.00,65.1
2010-09-15,0.00,64.8
2010-09-16,0.36,63.5
2010-09-17,0.01,66.5
2010-09-18,0.11,63.0
2010-09-19,0.98,58.5
2010-09-20,0.25,63.4
2010-09-21,0.00,58.2
2010-09-22,0.00,59.2
2010-09-23,0.00,59.2
2010-09-24,0.05,56.0
2010-09-25,0.00,61.9
2010-09-26,0.03,64.5
2010-09-27,0.13,64.9
2010-09-28,0.00,72.1
2010-09-29,0.00,69.4
2010-09-30,0.00,64.4
2010-10-01,0.00,67.3
2010-10-02,0.00,62.4
2010-10-03,0.00,61.6
2010-10-04,0.00,56.1
2010-10-05,0.00,52.4
2010-10-06,0.00,57.3
2010-10-07,0.00,62.9
2010-10-08,0.00,57.9
2010-10-09,0.21,63.4
2010-10-10,0.69,62.2
2010-10-11,0.38,52.1
2010-10-12,0.00,51.5
2010-10-13,0.00,52.7
2010-10-14,0.00,55.4
2010-10-15,0.02,54.9
2010-10-16,0.00,49.5
2010-10-17,0.00,49.1
2010-10-18,0.00,49.1
2010-10-19,0.00,49.7
2010-10-20,0.00,55.1
2010-10-21,0.00,54.8
2010-10-22,0.03,52.3
2010-10-23,0.02,56.2
2010-10-24,1.19,57.0
2010-10-25,0.87,51.5
2010-10-26,0.63,48.2
2010-10-27,0.08,46.5
2010-10-28,0.10,44.7
2010-10-29,0.34,51.2
2010-10-30,0.02,50.6
2010-10-31,0.93,50.4
2010-11-01,0.03,50.8
2010-11-02,0.32,60.6
2010-11-03,0.00,56.6
2010-11-04,0.00,59.0
2010-11-05,0.00,55.4
2010-11-06,0.08,49.4
2010-11-07,0.82,54.4
2010-11-08,0.18,49.7
2010-11-09,0.13,46.0
2010-11-10,0.72,46.2
2010-11-11,0.01,43.2
2010-11-12,0.04,44.7
2010-11-13,0.06,44.0
2010-11-14,0.07,46.7
2010-11-15,0.00,53.9
2010-11-16,0.15,54.0
2010-11-17,0.01,50.2
2010-11-18,1.28,46.8
2010-11-19,0.15,43.3
2010-11-20,0.30,42.2
2010-11-21,0.00,39.2
2010-11-22,0.25,34.9
2010-11-23,0.45,34.4
2010-11-24,0.00,24.8
2010-11-25,0.00,26.1
2010-11-26,0.10,37.0
2010-11-27,0.30,43.7
2010-11-28,0.07,40.4
2010-11-29,0.09,39.4
2010-11-30,0.33,37.9
2010-12-01,0.90,46.3
2010-12-02,0.31,45.8
2010-12-03,0.00,42.1
2010-12-04,0.00,42.0
2010-12-05,0.00,43.8
2010-12-06,0.05,45.0
2010-12-07,0.04,43.4
2010-12-08,0.67,46.0
2010-12-09,0.67,50.3
2010-12-10,1.21,48.2
2010-12-11,0.46,45.9
2010-12-12,0.57,50.7
2010-12-13,0.28,56.6
2010-12-14,0.74,51.6
2010-12-15,0.29,43.7
2010-12-16,0.10,42.6
2010-12-17,0.00,38.1
2010-12-18,0.32,35.6
2010-12-19,0.20,42.1
2010-12-20,0.35,38.6
2010-12-21,0.11,43.5
2010-12-22,0.00,43.0
2010-12-23,0.00,44.6
2010-12-24,0.00,47.8
2010-12-25,0.03,45.4
2010-12-26,0.37,44.0
2010-12-27,0.66,41.7
2010-12-28,0.99,45.0
2010-12-29,1.63,43.1
2010-12-30,0.16,36.7
2010-12-31,0.00,32.2
2011-01-01,0.00,30.2
2011-01-02,0.00,31.1
2011-01-03,0.00,30.9
2011-01-04,0.00,30.7
2011-01-05,0.03,28.5
2011-01-06,0.10,39.0
2011-01-07,0.00,42.6
2011-01-08,0.05,39.2
2011-01-09,0.09,36.1
2011-01-10,0.08,36.5
2011-01-11,0.00,35.9
2011-01-12,0.28,34.3
2011-01-13,0.63,46.4
2011-01-14,0.16,53.1
2011-01-15,0.02,54.6
2011-01-16,1.13,53.8
2011-01-17,0.48,54.2
2011-01-18,0.03,46.9
2011-01-19,0.44,42.7
2011-01-20,0.00,36.6
2011-01-21,0.15,38.3
2011-01-22,0.08,44.1
2011-01-23,0.00,43.5
2011-01-24,0.00,43.8
2011-01-25,0.00,47.8
2011-01-26,0.00,44.9
2011-01-27,0.01,39.6
2011-01-28,0.00,43.1
2011-01-29,0.03,47.2
